date,alquiler de coches de lujo,isPartial
2018-01-07,22,False
2018-01-14,30,False
2018-01-21,45,False
2018-01-28,15,False
2018-02-04,30,False
2018-02-11,15,False
2018-02-18,38,False
2018-02-25,58,False
2018-03-04,0,False
2018-03-11,22,False
2018-03-18,23,False
2018-03-25,17,False
2018-04-01,30,False
2018-04-08,43,False
2018-04-15,15,False
2018-04-22,22,False
2018-04-29,38,False
2018-05-06,22,False
2018-05-13,60,False
2018-05-20,59,False
2018-05-27,29,False
2018-06-03,14,False
2018-06-10,56,False
2018-06-17,23,False
2018-06-24,23,False
2018-07-01,30,False
2018-07-08,45,False
2018-07-15,39,False
2018-07-22,39,False
2018-07-29,55,False
2018-08-05,31,False
2018-08-12,16,False
2018-08-19,48,False
2018-08-26,38,False
2018-09-02,22,False
2018-09-09,37,False
2018-09-16,22,False
2018-09-23,43,False
2018-09-30,36,False
2018-10-07,45,False
2018-10-14,50,False
2018-10-21,29,False
2018-10-28,30,False
2018-11-04,35,False
2018-11-11,36,False
2018-11-18,14,False
2018-11-25,66,False
2018-12-02,30,False
2018-12-09,30,False
2018-12-16,60,False
2018-12-23,69,False
2018-12-30,16,False
2019-01-06,30,False
2019-01-13,100,False
2019-01-20,40,False
2019-01-27,55,False
2019-02-03,14,False
2019-02-10,36,False
2019-02-17,29,False
2019-02-24,42,False
2019-03-03,15,False
2019-03-10,22,False
2019-03-17,15,False
2019-03-24,51,False
2019-03-31,63,False
2019-04-07,21,False
2019-04-14,75,False
2019-04-21,29,False
2019-04-28,36,False
2019-05-05,21,False
2019-05-12,14,False
2019-05-19,28,False
2019-05-26,55,False
2019-06-02,68,False
2019-06-09,21,False
2019-06-16,29,False
2019-06-23,29,False
2019-06-30,0,False
2019-07-07,57,False
2019-07-14,30,False
2019-07-21,30,False
2019-07-28,61,False
2019-08-04,31,False
2019-08-11,39,False
2019-08-18,30,False
2019-08-25,64,False
2019-09-01,20,False
2019-09-08,20,False
2019-09-15,46,False
2019-09-22,27,False
2019-09-29,33,False
2019-10-06,20,False
2019-10-13,39,False
2019-10-20,0,False
2019-10-27,33,False
2019-11-03,13,False
2019-11-10,0,False
2019-11-17,19,False
2019-11-24,13,False
2019-12-01,20,False
2019-12-08,34,False
2019-12-15,19,False
2019-12-22,29,False
2019-12-29,22,False
2020-01-05,52,False
2020-01-12,24,False
2020-01-19,24,False
2020-01-26,19,False
2020-02-02,31,False
2020-02-09,25,False
2020-02-16,50,False
2020-02-23,18,False
2020-03-01,48,False
2020-03-08,17,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,16,False
2020-04-05,23,False
2020-04-12,19,True
