date,Notfall Schlüsseldienst,isPartial
2018-01-07,42,False
2018-01-14,42,False
2018-01-21,43,False
2018-01-28,84,False
2018-02-04,43,False
2018-02-11,43,False
2018-02-18,0,False
2018-02-25,42,False
2018-03-04,43,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,92,False
2018-04-08,44,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,45,False
2018-05-13,0,False
2018-05-20,46,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,43,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,43,False
2018-07-15,0,False
2018-07-22,44,False
2018-07-29,0,False
2018-08-05,44,False
2018-08-12,45,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,43,False
2018-09-16,43,False
2018-09-23,0,False
2018-09-30,43,False
2018-10-07,43,False
2018-10-14,44,False
2018-10-21,42,False
2018-10-28,70,False
2018-11-04,41,False
2018-11-11,0,False
2018-11-18,41,False
2018-11-25,42,False
2018-12-02,0,False
2018-12-09,42,False
2018-12-16,0,False
2018-12-23,100,False
2018-12-30,0,False
2019-01-06,40,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,41,False
2019-02-17,0,False
2019-02-24,42,False
2019-03-03,40,False
2019-03-10,40,False
2019-03-17,41,False
2019-03-24,0,False
2019-03-31,42,False
2019-04-07,41,False
2019-04-14,0,False
2019-04-21,44,False
2019-04-28,40,False
2019-05-05,0,False
2019-05-12,41,False
2019-05-19,0,False
2019-05-26,63,False
2019-06-02,41,False
2019-06-09,42,False
2019-06-16,0,False
2019-06-23,84,False
2019-06-30,41,False
2019-07-07,41,False
2019-07-14,43,False
2019-07-21,44,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,43,False
2019-08-25,41,False
2019-09-01,40,False
2019-09-08,41,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,40,False
2019-10-13,79,False
2019-10-20,78,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,38,False
2019-11-17,0,False
2019-11-24,37,False
2019-12-01,38,False
2019-12-08,0,False
2019-12-15,78,False
2019-12-22,45,False
2019-12-29,0,False
2020-01-05,37,False
2020-01-12,35,False
2020-01-19,54,False
2020-01-26,36,False
2020-02-02,54,False
2020-02-09,35,False
2020-02-16,37,False
2020-02-23,0,False
2020-03-01,35,False
2020-03-08,0,False
2020-03-15,32,False
2020-03-22,0,False
2020-03-29,32,False
2020-04-05,36,False
2020-04-12,34,False
2020-04-19,33,False
2020-04-26,32,False
2020-05-03,33,False
2020-05-10,33,False
