date,Videoüberwachung,isPartial
2018-01-07,37,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,38,False
2018-02-04,39,False
2018-02-11,26,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,49,False
2018-03-11,24,False
2018-03-18,25,False
2018-03-25,39,False
2018-04-01,28,False
2018-04-08,53,False
2018-04-15,27,False
2018-04-22,53,False
2018-04-29,52,False
2018-05-06,27,False
2018-05-13,51,False
2018-05-20,53,False
2018-05-27,38,False
2018-06-03,25,False
2018-06-10,100,False
2018-06-17,51,False
2018-06-24,26,False
2018-07-01,26,False
2018-07-08,28,False
2018-07-15,43,False
2018-07-22,59,False
2018-07-29,61,False
2018-08-05,55,False
2018-08-12,80,False
2018-08-19,26,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,52,False
2018-09-30,52,False
2018-10-07,81,False
2018-10-14,54,False
2018-10-21,26,False
2018-10-28,25,False
2018-11-04,61,False
2018-11-11,38,False
2018-11-18,37,False
2018-11-25,24,False
2018-12-02,25,False
2018-12-09,38,False
2018-12-16,26,False
2018-12-23,64,False
2018-12-30,43,False
2019-01-06,48,False
2019-01-13,24,False
2019-01-20,47,False
2019-01-27,36,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,25,False
2019-03-03,35,False
2019-03-10,98,False
2019-03-17,0,False
2019-03-24,50,False
2019-03-31,25,False
2019-04-07,46,False
2019-04-14,41,False
2019-04-21,27,False
2019-04-28,47,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,65,False
2019-06-02,49,False
2019-06-09,73,False
2019-06-16,75,False
2019-06-23,66,False
2019-06-30,51,False
2019-07-07,52,False
2019-07-14,0,False
2019-07-21,60,False
2019-07-28,0,False
2019-08-04,83,False
2019-08-11,38,False
2019-08-18,37,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,49,False
2019-09-15,49,False
2019-09-22,96,False
2019-09-29,24,False
2019-10-06,37,False
2019-10-13,73,False
2019-10-20,24,False
2019-10-27,47,False
2019-11-03,34,False
2019-11-10,70,False
2019-11-17,69,False
2019-11-24,45,False
2019-12-01,23,False
2019-12-08,23,False
2019-12-15,35,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,22,False
2020-01-12,33,False
2020-01-19,22,False
2020-01-26,66,False
2020-02-02,56,False
2020-02-09,22,False
2020-02-16,45,False
2020-02-23,21,False
2020-03-01,64,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,62,False
2020-04-05,22,False
2020-04-12,43,False
2020-04-19,41,False
2020-04-26,58,False
2020-05-03,21,False
2020-05-10,81,False
2020-05-17,22,False
2020-05-24,64,False
2020-05-31,42,False
2020-06-07,71,False
2020-06-14,21,False
2020-06-21,67,False
2020-06-28,0,False
2020-07-05,46,False
