date,Videoüberwachung,isPartial
2018-01-07,25,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,25,False
2018-02-04,26,False
2018-02-11,50,False
2018-02-18,50,False
2018-02-25,37,False
2018-03-04,25,False
2018-03-11,74,False
2018-03-18,25,False
2018-03-25,27,False
2018-04-01,83,False
2018-04-08,25,False
2018-04-15,24,False
2018-04-22,24,False
2018-04-29,79,False
2018-05-06,26,False
2018-05-13,76,False
2018-05-20,53,False
2018-05-27,39,False
2018-06-03,0,False
2018-06-10,49,False
2018-06-17,0,False
2018-06-24,98,False
2018-07-01,27,False
2018-07-08,0,False
2018-07-15,28,False
2018-07-22,0,False
2018-07-29,44,False
2018-08-05,0,False
2018-08-12,30,False
2018-08-19,28,False
2018-08-26,80,False
2018-09-02,26,False
2018-09-09,0,False
2018-09-16,26,False
2018-09-23,26,False
2018-09-30,25,False
2018-10-07,0,False
2018-10-14,24,False
2018-10-21,72,False
2018-10-28,50,False
2018-11-04,24,False
2018-11-11,70,False
2018-11-18,44,False
2018-11-25,0,False
2018-12-02,46,False
2018-12-09,23,False
2018-12-16,0,False
2018-12-23,58,False
2018-12-30,28,False
2019-01-06,100,False
2019-01-13,24,False
2019-01-20,24,False
2019-01-27,37,False
2019-02-03,51,False
2019-02-10,49,False
2019-02-17,25,False
2019-02-24,24,False
2019-03-03,36,False
2019-03-10,23,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,25,False
2019-04-07,24,False
2019-04-14,27,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,48,False
2019-05-26,25,False
2019-06-02,25,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,26,False
2019-06-30,52,False
2019-07-07,53,False
2019-07-14,28,False
2019-07-21,0,False
2019-07-28,57,False
2019-08-04,29,False
2019-08-11,60,False
2019-08-18,55,False
2019-08-25,40,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,23,False
2019-10-13,22,False
2019-10-20,0,False
2019-10-27,23,False
2019-11-03,0,False
2019-11-10,21,False
2019-11-17,22,False
2019-11-24,65,False
2019-12-01,0,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,25,False
2020-01-12,22,False
2020-01-19,21,False
2020-01-26,0,False
2020-02-02,23,False
2020-02-09,22,False
2020-02-16,43,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,32,False
2020-03-22,22,False
2020-03-29,23,False
2020-04-05,24,False
2020-04-12,24,False
2020-04-19,46,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,66,False
2020-05-17,35,False
2020-05-24,22,False
2020-05-31,0,False
2020-06-07,22,False
2020-06-14,32,False
2020-06-21,32,False
2020-06-28,22,False
2020-07-05,23,False
