date,eventi aziendali,isPartial
2018-01-07,22,False
2018-01-14,44,False
2018-01-21,0,False
2018-01-28,53,False
2018-02-04,85,False
2018-02-11,0,False
2018-02-18,42,False
2018-02-25,41,False
2018-03-04,31,False
2018-03-11,42,False
2018-03-18,32,False
2018-03-25,66,False
2018-04-01,23,False
2018-04-08,43,False
2018-04-15,44,False
2018-04-22,22,False
2018-04-29,22,False
2018-05-06,42,False
2018-05-13,21,False
2018-05-20,43,False
2018-05-27,33,False
2018-06-03,54,False
2018-06-10,0,False
2018-06-17,21,False
2018-06-24,0,False
2018-07-01,43,False
2018-07-08,54,False
2018-07-15,0,False
2018-07-22,33,False
2018-07-29,0,False
2018-08-05,45,False
2018-08-12,0,False
2018-08-19,24,False
2018-08-26,33,False
2018-09-02,21,False
2018-09-09,0,False
2018-09-16,21,False
2018-09-23,21,False
2018-09-30,32,False
2018-10-07,32,False
2018-10-14,55,False
2018-10-21,32,False
2018-10-28,21,False
2018-11-04,41,False
2018-11-11,32,False
2018-11-18,52,False
2018-11-25,53,False
2018-12-02,44,False
2018-12-09,43,False
2018-12-16,68,False
2018-12-23,0,False
2018-12-30,35,False
2019-01-06,65,False
2019-01-13,63,False
2019-01-20,20,False
2019-01-27,20,False
2019-02-03,50,False
2019-02-10,41,False
2019-02-17,52,False
2019-02-24,31,False
2019-03-03,43,False
2019-03-10,32,False
2019-03-17,43,False
2019-03-24,21,False
2019-03-31,43,False
2019-04-07,21,False
2019-04-14,0,False
2019-04-21,23,False
2019-04-28,53,False
2019-05-05,31,False
2019-05-12,20,False
2019-05-19,41,False
2019-05-26,30,False
2019-06-02,42,False
2019-06-09,42,False
2019-06-16,43,False
2019-06-23,0,False
2019-06-30,54,False
2019-07-07,21,False
2019-07-14,21,False
2019-07-21,65,False
2019-07-28,22,False
2019-08-04,45,False
2019-08-11,49,False
2019-08-18,0,False
2019-08-25,62,False
2019-09-01,29,False
2019-09-08,81,False
2019-09-15,39,False
2019-09-22,79,False
2019-09-29,100,False
2019-10-06,30,False
2019-10-13,90,False
2019-10-20,38,False
2019-10-27,39,False
2019-11-03,38,False
2019-11-10,67,False
2019-11-17,38,False
2019-11-24,76,False
2019-12-01,20,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,47,False
2019-12-29,22,False
2020-01-05,20,False
2020-01-12,55,False
2020-01-19,28,False
2020-01-26,37,False
2020-02-02,18,False
2020-02-09,19,False
2020-02-16,37,False
2020-02-23,44,False
2020-03-01,17,False
2020-03-08,17,False
2020-03-15,17,False
2020-03-22,0,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,34,False
2020-04-19,16,False
2020-04-26,0,True
