date,Schimmelpilz,isPartial
2018-01-07,0,False
2018-01-14,22,False
2018-01-21,43,False
2018-01-28,22,False
2018-02-04,23,False
2018-02-11,22,False
2018-02-18,22,False
2018-02-25,44,False
2018-03-04,43,False
2018-03-11,21,False
2018-03-18,0,False
2018-03-25,57,False
2018-04-01,0,False
2018-04-08,47,False
2018-04-15,23,False
2018-04-22,35,False
2018-04-29,23,False
2018-05-06,0,False
2018-05-13,33,False
2018-05-20,0,False
2018-05-27,22,False
2018-06-03,22,False
2018-06-10,22,False
2018-06-17,45,False
2018-06-24,23,False
2018-07-01,46,False
2018-07-08,24,False
2018-07-15,0,False
2018-07-22,26,False
2018-07-29,54,False
2018-08-05,0,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,46,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,44,False
2018-11-04,22,False
2018-11-11,22,False
2018-11-18,43,False
2018-11-25,0,False
2018-12-02,88,False
2018-12-09,22,False
2018-12-16,46,False
2018-12-23,28,False
2018-12-30,50,False
2019-01-06,32,False
2019-01-13,0,False
2019-01-20,21,False
2019-01-27,62,False
2019-02-03,22,False
2019-02-10,22,False
2019-02-17,44,False
2019-02-24,43,False
2019-03-03,0,False
2019-03-10,43,False
2019-03-17,22,False
2019-03-24,22,False
2019-03-31,22,False
2019-04-07,61,False
2019-04-14,47,False
2019-04-21,24,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,64,False
2019-05-19,84,False
2019-05-26,45,False
2019-06-02,43,False
2019-06-09,21,False
2019-06-16,22,False
2019-06-23,46,False
2019-06-30,56,False
2019-07-07,69,False
2019-07-14,0,False
2019-07-21,80,False
2019-07-28,0,False
2019-08-04,24,False
2019-08-11,22,False
2019-08-18,32,False
2019-08-25,44,False
2019-09-01,21,False
2019-09-08,21,False
2019-09-15,65,False
2019-09-22,64,False
2019-09-29,53,False
2019-10-06,43,False
2019-10-13,0,False
2019-10-20,42,False
2019-10-27,21,False
2019-11-03,20,False
2019-11-10,82,False
2019-11-17,21,False
2019-11-24,40,False
2019-12-01,62,False
2019-12-08,41,False
2019-12-15,52,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,20,False
2020-01-12,0,False
2020-01-19,20,False
2020-01-26,29,False
2020-02-02,49,False
2020-02-09,19,False
2020-02-16,20,False
2020-02-23,75,False
2020-03-01,19,False
2020-03-08,18,False
2020-03-15,0,False
2020-03-22,35,False
2020-03-29,18,False
2020-04-05,39,False
2020-04-12,19,False
2020-04-19,36,False
2020-04-26,17,False
2020-05-03,18,False
2020-05-10,18,False
2020-05-17,39,False
2020-05-24,19,False
2020-05-31,18,False
2020-06-07,18,False
2020-06-14,18,False
2020-06-21,0,False
2020-06-28,19,False
2020-07-05,100,False
