date,album battesimo,isPartial
2018-01-07,23,False
2018-01-14,22,False
2018-01-21,44,False
2018-01-28,33,False
2018-02-04,22,False
2018-02-11,22,False
2018-02-18,54,False
2018-02-25,64,False
2018-03-04,43,False
2018-03-11,65,False
2018-03-18,22,False
2018-03-25,46,False
2018-04-01,48,False
2018-04-08,66,False
2018-04-15,69,False
2018-04-22,70,False
2018-04-29,34,False
2018-05-06,33,False
2018-05-13,44,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,67,False
2018-06-10,21,False
2018-06-17,44,False
2018-06-24,45,False
2018-07-01,44,False
2018-07-08,0,False
2018-07-15,46,False
2018-07-22,45,False
2018-07-29,23,False
2018-08-05,24,False
2018-08-12,25,False
2018-08-19,37,False
2018-08-26,34,False
2018-09-02,87,False
2018-09-09,22,False
2018-09-16,53,False
2018-09-23,87,False
2018-09-30,55,False
2018-10-07,34,False
2018-10-14,45,False
2018-10-21,55,False
2018-10-28,22,False
2018-11-04,21,False
2018-11-11,22,False
2018-11-18,22,False
2018-11-25,22,False
2018-12-02,67,False
2018-12-09,22,False
2018-12-16,58,False
2018-12-23,26,False
2018-12-30,48,False
2019-01-06,22,False
2019-01-13,22,False
2019-01-20,31,False
2019-01-27,20,False
2019-02-03,21,False
2019-02-10,42,False
2019-02-17,22,False
2019-02-24,0,False
2019-03-03,22,False
2019-03-10,76,False
2019-03-17,33,False
2019-03-24,67,False
2019-03-31,44,False
2019-04-07,22,False
2019-04-14,34,False
2019-04-21,24,False
2019-04-28,66,False
2019-05-05,21,False
2019-05-12,32,False
2019-05-19,21,False
2019-05-26,31,False
2019-06-02,76,False
2019-06-09,44,False
2019-06-16,0,False
2019-06-23,34,False
2019-06-30,22,False
2019-07-07,64,False
2019-07-14,22,False
2019-07-21,0,False
2019-07-28,23,False
2019-08-04,35,False
2019-08-11,50,False
2019-08-18,47,False
2019-08-25,32,False
2019-09-01,60,False
2019-09-08,21,False
2019-09-15,41,False
2019-09-22,51,False
2019-09-29,82,False
2019-10-06,21,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,20,False
2019-11-03,20,False
2019-11-10,59,False
2019-11-17,20,False
2019-11-24,20,False
2019-12-01,41,False
2019-12-08,21,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,23,False
2020-01-05,0,False
2020-01-12,19,False
2020-01-19,19,False
2020-01-26,38,False
2020-02-02,19,False
2020-02-09,39,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,0,False
2020-03-15,17,False
2020-03-22,0,False
2020-03-29,17,False
2020-04-05,18,False
2020-04-12,0,False
2020-04-19,17,False
2020-04-26,0,True
