date,camicie uomo,isPartial
2018-01-07,17,False
2018-01-14,16,False
2018-01-21,23,False
2018-01-28,16,False
2018-02-04,38,False
2018-02-11,16,False
2018-02-18,16,False
2018-02-25,16,False
2018-03-04,16,False
2018-03-11,16,False
2018-03-18,66,False
2018-03-25,34,False
2018-04-01,35,False
2018-04-08,33,False
2018-04-15,17,False
2018-04-22,35,False
2018-04-29,34,False
2018-05-06,17,False
2018-05-13,100,False
2018-05-20,17,False
2018-05-27,0,False
2018-06-03,17,False
2018-06-10,16,False
2018-06-17,27,False
2018-06-24,37,False
2018-07-01,18,False
2018-07-08,54,False
2018-07-15,0,False
2018-07-22,19,False
2018-07-29,20,False
2018-08-05,22,False
2018-08-12,49,False
2018-08-19,34,False
2018-08-26,0,False
2018-09-02,18,False
2018-09-09,45,False
2018-09-16,18,False
2018-09-23,45,False
2018-09-30,36,False
2018-10-07,36,False
2018-10-14,18,False
2018-10-21,36,False
2018-10-28,43,False
2018-11-04,33,False
2018-11-11,17,False
2018-11-18,24,False
2018-11-25,25,False
2018-12-02,17,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,40,False
2018-12-30,0,False
2019-01-06,16,False
2019-01-13,16,False
2019-01-20,15,False
2019-01-27,30,False
2019-02-03,15,False
2019-02-10,47,False
2019-02-17,16,False
2019-02-24,32,False
2019-03-03,41,False
2019-03-10,24,False
2019-03-17,49,False
2019-03-24,80,False
2019-03-31,16,False
2019-04-07,32,False
2019-04-14,57,False
2019-04-21,18,False
2019-04-28,17,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,16,False
2019-05-26,38,False
2019-06-02,23,False
2019-06-09,31,False
2019-06-16,32,False
2019-06-23,66,False
2019-06-30,65,False
2019-07-07,57,False
2019-07-14,33,False
2019-07-21,17,False
2019-07-28,45,False
2019-08-04,47,False
2019-08-11,31,False
2019-08-18,19,False
2019-08-25,17,False
2019-09-01,15,False
2019-09-08,63,False
2019-09-15,45,False
2019-09-22,31,False
2019-09-29,23,False
2019-10-06,55,False
2019-10-13,30,False
2019-10-20,36,False
2019-10-27,22,False
2019-11-03,15,False
2019-11-10,22,False
2019-11-17,36,False
2019-11-24,21,False
2019-12-01,74,False
2019-12-08,30,False
2019-12-15,15,False
2019-12-22,34,False
2019-12-29,33,False
2020-01-05,70,False
2020-01-12,13,False
2020-01-19,14,False
2020-01-26,14,False
2020-02-02,13,False
2020-02-09,0,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,38,False
2020-03-08,0,False
2020-03-15,12,False
2020-03-22,17,False
2020-03-29,24,False
2020-04-05,31,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,20,True
