date,cantante matrimonio,isPartial
2018-01-07,50,False
2018-01-14,20,False
2018-01-21,49,False
2018-01-28,39,False
2018-02-04,68,False
2018-02-11,30,False
2018-02-18,38,False
2018-02-25,38,False
2018-03-04,19,False
2018-03-11,19,False
2018-03-18,39,False
2018-03-25,31,False
2018-04-01,0,False
2018-04-08,20,False
2018-04-15,30,False
2018-04-22,42,False
2018-04-29,30,False
2018-05-06,29,False
2018-05-13,39,False
2018-05-20,99,False
2018-05-27,40,False
2018-06-03,20,False
2018-06-10,28,False
2018-06-17,59,False
2018-06-24,70,False
2018-07-01,49,False
2018-07-08,19,False
2018-07-15,80,False
2018-07-22,100,False
2018-07-29,61,False
2018-08-05,64,False
2018-08-12,22,False
2018-08-19,44,False
2018-08-26,71,False
2018-09-02,67,False
2018-09-09,29,False
2018-09-16,28,False
2018-09-23,39,False
2018-09-30,29,False
2018-10-07,20,False
2018-10-14,40,False
2018-10-21,20,False
2018-10-28,29,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,20,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,47,False
2018-12-30,32,False
2019-01-06,39,False
2019-01-13,38,False
2019-01-20,19,False
2019-01-27,18,False
2019-02-03,46,False
2019-02-10,28,False
2019-02-17,48,False
2019-02-24,19,False
2019-03-03,40,False
2019-03-10,0,False
2019-03-17,20,False
2019-03-24,99,False
2019-03-31,69,False
2019-04-07,19,False
2019-04-14,40,False
2019-04-21,42,False
2019-04-28,39,False
2019-05-05,0,False
2019-05-12,19,False
2019-05-19,0,False
2019-05-26,18,False
2019-06-02,48,False
2019-06-09,29,False
2019-06-16,68,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,48,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,20,False
2019-08-04,52,False
2019-08-11,22,False
2019-08-18,41,False
2019-08-25,38,False
2019-09-01,36,False
2019-09-08,19,False
2019-09-15,27,False
2019-09-22,18,False
2019-09-29,55,False
2019-10-06,37,False
2019-10-13,28,False
2019-10-20,71,False
2019-10-27,18,False
2019-11-03,52,False
2019-11-10,53,False
2019-11-17,26,False
2019-11-24,26,False
2019-12-01,18,False
2019-12-08,0,False
2019-12-15,18,False
2019-12-22,42,False
2019-12-29,0,False
2020-01-05,71,False
2020-01-12,17,False
2020-01-19,51,False
2020-01-26,67,False
2020-02-02,50,False
2020-02-09,34,False
2020-02-16,17,False
2020-02-23,32,False
2020-03-01,32,False
2020-03-08,0,False
2020-03-15,31,False
2020-03-22,14,False
2020-03-29,30,False
2020-04-05,16,False
2020-04-12,39,False
2020-04-19,30,False
2020-04-26,26,True
