date,video per matrimonio,isPartial
2018-01-07,86,False
2018-01-14,34,False
2018-01-21,33,False
2018-01-28,66,False
2018-02-04,33,False
2018-02-11,17,False
2018-02-18,32,False
2018-02-25,24,False
2018-03-04,40,False
2018-03-11,33,False
2018-03-18,49,False
2018-03-25,35,False
2018-04-01,72,False
2018-04-08,17,False
2018-04-15,34,False
2018-04-22,52,False
2018-04-29,59,False
2018-05-06,74,False
2018-05-13,25,False
2018-05-20,58,False
2018-05-27,59,False
2018-06-03,34,False
2018-06-10,40,False
2018-06-17,100,False
2018-06-24,84,False
2018-07-01,41,False
2018-07-08,83,False
2018-07-15,68,False
2018-07-22,59,False
2018-07-29,26,False
2018-08-05,44,False
2018-08-12,38,False
2018-08-19,46,False
2018-08-26,60,False
2018-09-02,57,False
2018-09-09,66,False
2018-09-16,96,False
2018-09-23,49,False
2018-09-30,24,False
2018-10-07,59,False
2018-10-14,17,False
2018-10-21,66,False
2018-10-28,16,False
2018-11-04,16,False
2018-11-11,25,False
2018-11-18,16,False
2018-11-25,33,False
2018-12-02,100,False
2018-12-09,50,False
2018-12-16,35,False
2018-12-23,39,False
2018-12-30,18,False
2019-01-06,0,False
2019-01-13,32,False
2019-01-20,47,False
2019-01-27,54,False
2019-02-03,16,False
2019-02-10,16,False
2019-02-17,48,False
2019-02-24,16,False
2019-03-03,34,False
2019-03-10,32,False
2019-03-17,67,False
2019-03-24,17,False
2019-03-31,25,False
2019-04-07,41,False
2019-04-14,0,False
2019-04-21,35,False
2019-04-28,41,False
2019-05-05,47,False
2019-05-12,16,False
2019-05-19,47,False
2019-05-26,46,False
2019-06-02,49,False
2019-06-09,41,False
2019-06-16,33,False
2019-06-23,34,False
2019-06-30,34,False
2019-07-07,24,False
2019-07-14,50,False
2019-07-21,51,False
2019-07-28,51,False
2019-08-04,53,False
2019-08-11,38,False
2019-08-18,52,False
2019-08-25,56,False
2019-09-01,38,False
2019-09-08,63,False
2019-09-15,61,False
2019-09-22,15,False
2019-09-29,31,False
2019-10-06,23,False
2019-10-13,39,False
2019-10-20,45,False
2019-10-27,15,False
2019-11-03,15,False
2019-11-10,15,False
2019-11-17,30,False
2019-11-24,37,False
2019-12-01,23,False
2019-12-08,15,False
2019-12-15,16,False
2019-12-22,54,False
2019-12-29,34,False
2020-01-05,23,False
2020-01-12,14,False
2020-01-19,29,False
2020-01-26,21,False
2020-02-02,35,False
2020-02-09,22,False
2020-02-16,29,False
2020-02-23,14,False
2020-03-01,34,False
2020-03-08,13,False
2020-03-15,0,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,13,False
2020-04-12,0,False
2020-04-19,12,False
2020-04-26,22,True
