date,Holz schleifen,isPartial
2018-01-07,25,False
2018-01-14,49,False
2018-01-21,25,False
2018-01-28,25,False
2018-02-04,26,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,50,False
2018-03-04,0,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,36,False
2018-04-01,0,False
2018-04-08,42,False
2018-04-15,43,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,0,False
2018-05-13,41,False
2018-05-20,26,False
2018-05-27,42,False
2018-06-03,25,False
2018-06-10,36,False
2018-06-17,24,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,36,False
2018-07-15,26,False
2018-07-22,39,False
2018-07-29,27,False
2018-08-05,40,False
2018-08-12,44,False
2018-08-19,26,False
2018-08-26,77,False
2018-09-02,34,False
2018-09-09,34,False
2018-09-16,25,False
2018-09-23,26,False
2018-09-30,64,False
2018-10-07,38,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,50,False
2018-11-04,48,False
2018-11-11,49,False
2018-11-18,24,False
2018-11-25,0,False
2018-12-02,48,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,57,False
2018-12-30,26,False
2019-01-06,0,False
2019-01-13,31,False
2019-01-20,34,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,24,False
2019-02-17,24,False
2019-02-24,73,False
2019-03-03,47,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,56,False
2019-03-31,24,False
2019-04-07,73,False
2019-04-14,53,False
2019-04-21,38,False
2019-04-28,36,False
2019-05-05,23,False
2019-05-12,48,False
2019-05-19,35,False
2019-05-26,24,False
2019-06-02,35,False
2019-06-09,24,False
2019-06-16,32,False
2019-06-23,36,False
2019-06-30,47,False
2019-07-07,70,False
2019-07-14,50,False
2019-07-21,0,False
2019-07-28,52,False
2019-08-04,39,False
2019-08-11,50,False
2019-08-18,100,False
2019-08-25,72,False
2019-09-01,47,False
2019-09-08,36,False
2019-09-15,24,False
2019-09-22,23,False
2019-09-29,39,False
2019-10-06,23,False
2019-10-13,0,False
2019-10-20,31,False
2019-10-27,34,False
2019-11-03,55,False
2019-11-10,22,False
2019-11-17,66,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,32,False
2020-01-12,31,False
2020-01-19,32,False
2020-01-26,0,False
2020-02-02,63,False
2020-02-09,30,False
2020-02-16,21,False
2020-02-23,31,False
2020-03-01,41,False
2020-03-08,19,False
2020-03-15,32,False
2020-03-22,57,False
2020-03-29,69,False
2020-04-05,55,False
2020-04-12,72,False
2020-04-19,39,False
2020-04-26,69,False
2020-05-03,48,False
2020-05-10,51,False
