date,organizzatore eventi,isPartial
2018-01-07,77,False
2018-01-14,59,False
2018-01-21,67,False
2018-01-28,58,False
2018-02-04,100,False
2018-02-11,42,False
2018-02-18,33,False
2018-02-25,24,False
2018-03-04,57,False
2018-03-11,49,False
2018-03-18,41,False
2018-03-25,52,False
2018-04-01,18,False
2018-04-08,25,False
2018-04-15,43,False
2018-04-22,35,False
2018-04-29,17,False
2018-05-06,42,False
2018-05-13,16,False
2018-05-20,42,False
2018-05-27,68,False
2018-06-03,26,False
2018-06-10,32,False
2018-06-17,75,False
2018-06-24,51,False
2018-07-01,17,False
2018-07-08,25,False
2018-07-15,69,False
2018-07-22,51,False
2018-07-29,26,False
2018-08-05,35,False
2018-08-12,38,False
2018-08-19,18,False
2018-08-26,51,False
2018-09-02,65,False
2018-09-09,100,False
2018-09-16,72,False
2018-09-23,49,False
2018-09-30,90,False
2018-10-07,50,False
2018-10-14,51,False
2018-10-21,75,False
2018-10-28,49,False
2018-11-04,48,False
2018-11-11,67,False
2018-11-18,81,False
2018-11-25,75,False
2018-12-02,51,False
2018-12-09,0,False
2018-12-16,17,False
2018-12-23,20,False
2018-12-30,36,False
2019-01-06,68,False
2019-01-13,41,False
2019-01-20,47,False
2019-01-27,39,False
2019-02-03,32,False
2019-02-10,40,False
2019-02-17,25,False
2019-02-24,32,False
2019-03-03,51,False
2019-03-10,33,False
2019-03-17,51,False
2019-03-24,25,False
2019-03-31,25,False
2019-04-07,16,False
2019-04-14,51,False
2019-04-21,36,False
2019-04-28,33,False
2019-05-05,24,False
2019-05-12,40,False
2019-05-19,31,False
2019-05-26,39,False
2019-06-02,33,False
2019-06-09,100,False
2019-06-16,58,False
2019-06-23,26,False
2019-06-30,42,False
2019-07-07,73,False
2019-07-14,42,False
2019-07-21,43,False
2019-07-28,17,False
2019-08-04,35,False
2019-08-11,19,False
2019-08-18,62,False
2019-08-25,40,False
2019-09-01,46,False
2019-09-08,47,False
2019-09-15,30,False
2019-09-22,53,False
2019-09-29,62,False
2019-10-06,71,False
2019-10-13,16,False
2019-10-20,45,False
2019-10-27,15,False
2019-11-03,22,False
2019-11-10,37,False
2019-11-17,52,False
2019-11-24,15,False
2019-12-01,31,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,45,False
2019-12-29,34,False
2020-01-05,31,False
2020-01-12,57,False
2020-01-19,29,False
2020-01-26,29,False
2020-02-02,21,False
2020-02-09,51,False
2020-02-16,36,False
2020-02-23,27,False
2020-03-01,20,False
2020-03-08,13,False
2020-03-15,26,False
2020-03-22,12,False
2020-03-29,0,False
2020-04-05,13,False
2020-04-12,20,False
2020-04-19,37,False
2020-04-26,22,True
