date,Elektrokamin,isPartial
2018-01-07,45,False
2018-01-14,37,False
2018-01-21,37,False
2018-01-28,15,False
2018-02-04,31,False
2018-02-11,48,False
2018-02-18,23,False
2018-02-25,0,False
2018-03-04,31,False
2018-03-11,16,False
2018-03-18,16,False
2018-03-25,17,False
2018-04-01,0,False
2018-04-08,32,False
2018-04-15,48,False
2018-04-22,16,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,49,False
2018-05-27,25,False
2018-06-03,15,False
2018-06-10,15,False
2018-06-17,0,False
2018-06-24,22,False
2018-07-01,15,False
2018-07-08,15,False
2018-07-15,15,False
2018-07-22,15,False
2018-07-29,38,False
2018-08-05,0,False
2018-08-12,17,False
2018-08-19,0,False
2018-08-26,16,False
2018-09-02,32,False
2018-09-09,23,False
2018-09-16,31,False
2018-09-23,78,False
2018-09-30,62,False
2018-10-07,61,False
2018-10-14,38,False
2018-10-21,31,False
2018-10-28,100,False
2018-11-04,67,False
2018-11-11,68,False
2018-11-18,73,False
2018-11-25,59,False
2018-12-02,58,False
2018-12-09,22,False
2018-12-16,23,False
2018-12-23,63,False
2018-12-30,48,False
2019-01-06,49,False
2019-01-13,28,False
2019-01-20,35,False
2019-01-27,35,False
2019-02-03,28,False
2019-02-10,43,False
2019-02-17,0,False
2019-02-24,15,False
2019-03-03,29,False
2019-03-10,14,False
2019-03-17,30,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,47,False
2019-04-28,51,False
2019-05-05,29,False
2019-05-12,14,False
2019-05-19,14,False
2019-05-26,22,False
2019-06-02,0,False
2019-06-09,15,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,14,False
2019-07-07,14,False
2019-07-14,15,False
2019-07-21,30,False
2019-07-28,30,False
2019-08-04,16,False
2019-08-11,0,False
2019-08-18,16,False
2019-08-25,16,False
2019-09-01,15,False
2019-09-08,43,False
2019-09-15,29,False
2019-09-22,14,False
2019-09-29,64,False
2019-10-06,56,False
2019-10-13,63,False
2019-10-20,41,False
2019-10-27,48,False
2019-11-03,74,False
2019-11-10,75,False
2019-11-17,68,False
2019-11-24,47,False
2019-12-01,91,False
2019-12-08,76,False
2019-12-15,28,False
2019-12-22,24,False
2019-12-29,30,False
2020-01-05,53,False
2020-01-12,65,False
2020-01-19,73,False
2020-01-26,33,False
2020-02-02,39,False
2020-02-09,25,False
2020-02-16,20,False
2020-02-23,26,False
2020-03-01,32,False
2020-03-08,18,False
2020-03-15,12,False
2020-03-22,12,False
2020-03-29,35,False
2020-04-05,0,False
2020-04-12,12,False
2020-04-19,12,False
2020-04-26,12,False
2020-05-03,18,False
2020-05-10,24,False
