date,Elektrokamin,isPartial
2018-01-07,31,False
2018-01-14,29,False
2018-01-21,18,False
2018-01-28,29,False
2018-02-04,16,False
2018-02-11,21,False
2018-02-18,27,False
2018-02-25,18,False
2018-03-04,17,False
2018-03-11,13,False
2018-03-18,15,False
2018-03-25,14,False
2018-04-01,19,False
2018-04-08,8,False
2018-04-15,8,False
2018-04-22,6,False
2018-04-29,7,False
2018-05-06,8,False
2018-05-13,5,False
2018-05-20,11,False
2018-05-27,9,False
2018-06-03,10,False
2018-06-10,4,False
2018-06-17,6,False
2018-06-24,13,False
2018-07-01,7,False
2018-07-08,8,False
2018-07-15,13,False
2018-07-22,5,False
2018-07-29,10,False
2018-08-05,11,False
2018-08-12,5,False
2018-08-19,12,False
2018-08-26,25,False
2018-09-02,28,False
2018-09-09,25,False
2018-09-16,30,False
2018-09-23,36,False
2018-09-30,65,False
2018-10-07,38,False
2018-10-14,41,False
2018-10-21,67,False
2018-10-28,100,False
2018-11-04,77,False
2018-11-11,54,False
2018-11-18,60,False
2018-11-25,62,False
2018-12-02,54,False
2018-12-09,44,False
2018-12-16,38,False
2018-12-23,43,False
2018-12-30,35,False
2019-01-06,37,False
2019-01-13,36,False
2019-01-20,31,False
2019-01-27,27,False
2019-02-03,28,False
2019-02-10,26,False
2019-02-17,12,False
2019-02-24,21,False
2019-03-03,21,False
2019-03-10,12,False
2019-03-17,23,False
2019-03-24,12,False
2019-03-31,23,False
2019-04-07,16,False
2019-04-14,13,False
2019-04-21,10,False
2019-04-28,19,False
2019-05-05,12,False
2019-05-12,10,False
2019-05-19,10,False
2019-05-26,10,False
2019-06-02,7,False
2019-06-09,7,False
2019-06-16,13,False
2019-06-23,6,False
2019-06-30,8,False
2019-07-07,16,False
2019-07-14,18,False
2019-07-21,16,False
2019-07-28,11,False
2019-08-04,15,False
2019-08-11,21,False
2019-08-18,13,False
2019-08-25,14,False
2019-09-01,24,False
2019-09-08,34,False
2019-09-15,35,False
2019-09-22,39,False
2019-09-29,50,False
2019-10-06,53,False
2019-10-13,70,False
2019-10-20,49,False
2019-10-27,71,False
2019-11-03,74,False
2019-11-10,77,False
2019-11-17,65,False
2019-11-24,66,False
2019-12-01,69,False
2019-12-08,59,False
2019-12-15,34,False
2019-12-22,49,False
2019-12-29,50,False
2020-01-05,39,False
2020-01-12,35,False
2020-01-19,35,False
2020-01-26,39,False
2020-02-02,35,False
2020-02-09,32,False
2020-02-16,27,False
2020-02-23,25,False
2020-03-01,24,False
2020-03-08,11,False
2020-03-15,7,False
2020-03-22,7,False
2020-03-29,9,False
2020-04-05,13,False
2020-04-12,18,False
2020-04-19,14,False
2020-04-26,23,False
2020-05-03,13,False
2020-05-10,21,False
