date,Laderegler,isPartial
2018-01-07,24,False
2018-01-14,47,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,49,False
2018-02-11,24,False
2018-02-18,48,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,24,False
2018-03-25,26,False
2018-04-01,53,False
2018-04-08,51,False
2018-04-15,52,False
2018-04-22,26,False
2018-04-29,53,False
2018-05-06,52,False
2018-05-13,0,False
2018-05-20,52,False
2018-05-27,65,False
2018-06-03,0,False
2018-06-10,36,False
2018-06-17,49,False
2018-06-24,49,False
2018-07-01,75,False
2018-07-08,0,False
2018-07-15,39,False
2018-07-22,26,False
2018-07-29,53,False
2018-08-05,0,False
2018-08-12,40,False
2018-08-19,26,False
2018-08-26,75,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,0,False
2018-09-30,25,False
2018-10-07,63,False
2018-10-14,25,False
2018-10-21,25,False
2018-10-28,25,False
2018-11-04,24,False
2018-11-11,50,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,50,False
2018-12-23,56,False
2018-12-30,62,False
2019-01-06,45,False
2019-01-13,23,False
2019-01-20,34,False
2019-01-27,45,False
2019-02-03,47,False
2019-02-10,0,False
2019-02-17,23,False
2019-02-24,45,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,24,False
2019-03-24,23,False
2019-03-31,24,False
2019-04-07,48,False
2019-04-14,26,False
2019-04-21,88,False
2019-04-28,72,False
2019-05-05,0,False
2019-05-12,23,False
2019-05-19,0,False
2019-05-26,46,False
2019-06-02,24,False
2019-06-09,61,False
2019-06-16,24,False
2019-06-23,49,False
2019-06-30,24,False
2019-07-07,23,False
2019-07-14,50,False
2019-07-21,64,False
2019-07-28,25,False
2019-08-04,25,False
2019-08-11,25,False
2019-08-18,59,False
2019-08-25,35,False
2019-09-01,46,False
2019-09-08,24,False
2019-09-15,70,False
2019-09-22,23,False
2019-09-29,0,False
2019-10-06,45,False
2019-10-13,45,False
2019-10-20,45,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,43,False
2019-11-17,44,False
2019-11-24,22,False
2019-12-01,44,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,69,False
2020-01-05,21,False
2020-01-12,40,False
2020-01-19,41,False
2020-01-26,0,False
2020-02-02,20,False
2020-02-09,61,False
2020-02-16,40,False
2020-02-23,19,False
2020-03-01,59,False
2020-03-08,19,False
2020-03-15,48,False
2020-03-22,56,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,30,False
2020-04-19,29,False
2020-04-26,39,False
2020-05-03,100,False
2020-05-10,20,False
2020-05-17,43,False
2020-05-24,59,False
2020-05-31,0,False
2020-06-07,40,False
2020-06-14,19,False
2020-06-21,40,False
2020-06-28,40,False
2020-07-05,42,False
