date,Soul,isPartial
2018-01-07,37,False
2018-01-14,44,False
2018-01-21,45,False
2018-01-28,30,False
2018-02-04,30,False
2018-02-11,46,False
2018-02-18,28,False
2018-02-25,41,False
2018-03-04,45,False
2018-03-11,29,False
2018-03-18,51,False
2018-03-25,32,False
2018-04-01,78,False
2018-04-08,46,False
2018-04-15,32,False
2018-04-22,17,False
2018-04-29,37,False
2018-05-06,45,False
2018-05-13,48,False
2018-05-20,39,False
2018-05-27,61,False
2018-06-03,44,False
2018-06-10,35,False
2018-06-17,30,False
2018-06-24,54,False
2018-07-01,61,False
2018-07-08,38,False
2018-07-15,69,False
2018-07-22,30,False
2018-07-29,53,False
2018-08-05,65,False
2018-08-12,46,False
2018-08-19,78,False
2018-08-26,65,False
2018-09-02,52,False
2018-09-09,63,False
2018-09-16,61,False
2018-09-23,31,False
2018-09-30,37,False
2018-10-07,16,False
2018-10-14,66,False
2018-10-21,25,False
2018-10-28,24,False
2018-11-04,24,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,56,False
2018-12-02,100,False
2018-12-09,25,False
2018-12-16,34,False
2018-12-23,55,False
2018-12-30,48,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,59,False
2019-01-27,46,False
2019-02-03,15,False
2019-02-10,15,False
2019-02-17,47,False
2019-02-24,47,False
2019-03-03,33,False
2019-03-10,65,False
2019-03-17,50,False
2019-03-24,33,False
2019-03-31,41,False
2019-04-07,49,False
2019-04-14,43,False
2019-04-21,42,False
2019-04-28,48,False
2019-05-05,32,False
2019-05-12,70,False
2019-05-19,63,False
2019-05-26,44,False
2019-06-02,33,False
2019-06-09,50,False
2019-06-16,74,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,15,False
2019-07-14,31,False
2019-07-21,24,False
2019-07-28,53,False
2019-08-04,45,False
2019-08-11,50,False
2019-08-18,45,False
2019-08-25,13,False
2019-09-01,35,False
2019-09-08,30,False
2019-09-15,36,False
2019-09-22,43,False
2019-09-29,42,False
2019-10-06,43,False
2019-10-13,37,False
2019-10-20,42,False
2019-10-27,50,False
2019-11-03,40,False
2019-11-10,20,False
2019-11-17,28,False
2019-11-24,48,False
2019-12-01,42,False
2019-12-08,21,False
2019-12-15,29,False
2019-12-22,31,False
2019-12-29,29,False
2020-01-05,48,False
2020-01-12,19,False
2020-01-19,33,False
2020-01-26,45,False
2020-02-02,31,False
2020-02-09,46,False
2020-02-16,72,False
2020-02-23,37,False
2020-03-01,24,False
2020-03-08,23,False
2020-03-15,46,False
2020-03-22,32,False
2020-03-29,56,False
2020-04-05,43,False
2020-04-12,49,False
2020-04-19,22,False
2020-04-26,51,True
