date,foto bambini,isPartial
2018-01-07,49,False
2018-01-14,73,False
2018-01-21,24,False
2018-01-28,0,False
2018-02-04,34,False
2018-02-11,23,False
2018-02-18,23,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,24,False
2018-03-18,0,False
2018-03-25,25,False
2018-04-01,27,False
2018-04-08,25,False
2018-04-15,0,False
2018-04-22,25,False
2018-04-29,39,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,52,False
2018-06-03,50,False
2018-06-10,0,False
2018-06-17,70,False
2018-06-24,47,False
2018-07-01,99,False
2018-07-08,23,False
2018-07-15,36,False
2018-07-22,44,False
2018-07-29,22,False
2018-08-05,20,False
2018-08-12,51,False
2018-08-19,51,False
2018-08-26,61,False
2018-09-02,24,False
2018-09-09,26,False
2018-09-16,39,False
2018-09-23,50,False
2018-09-30,48,False
2018-10-07,26,False
2018-10-14,0,False
2018-10-21,50,False
2018-10-28,24,False
2018-11-04,49,False
2018-11-11,26,False
2018-11-18,0,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,0,False
2019-01-13,100,False
2019-01-20,47,False
2019-01-27,24,False
2019-02-03,0,False
2019-02-10,24,False
2019-02-17,25,False
2019-02-24,24,False
2019-03-03,39,False
2019-03-10,25,False
2019-03-17,0,False
2019-03-24,25,False
2019-03-31,50,False
2019-04-07,50,False
2019-04-14,26,False
2019-04-21,26,False
2019-04-28,25,False
2019-05-05,37,False
2019-05-12,74,False
2019-05-19,25,False
2019-05-26,23,False
2019-06-02,38,False
2019-06-09,27,False
2019-06-16,26,False
2019-06-23,25,False
2019-06-30,0,False
2019-07-07,25,False
2019-07-14,48,False
2019-07-21,48,False
2019-07-28,23,False
2019-08-04,42,False
2019-08-11,20,False
2019-08-18,50,False
2019-08-25,20,False
2019-09-01,66,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,25,False
2019-10-13,26,False
2019-10-20,51,False
2019-10-27,26,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,39,False
2019-11-24,48,False
2019-12-01,26,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,76,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,45,False
2020-02-02,0,False
2020-02-09,24,False
2020-02-16,35,False
2020-02-23,32,False
2020-03-01,21,False
2020-03-08,19,False
2020-03-15,37,False
2020-03-22,25,False
2020-03-29,36,False
2020-04-05,19,False
2020-04-12,60,False
2020-04-19,18,False
2020-04-26,32,True
