date,tagli capelli corti,isPartial
2018-01-07,48,False
2018-01-14,48,False
2018-01-21,39,False
2018-01-28,77,False
2018-02-04,74,False
2018-02-11,37,False
2018-02-18,45,False
2018-02-25,37,False
2018-03-04,94,False
2018-03-11,48,False
2018-03-18,56,False
2018-03-25,0,False
2018-04-01,53,False
2018-04-08,39,False
2018-04-15,19,False
2018-04-22,20,False
2018-04-29,21,False
2018-05-06,49,False
2018-05-13,0,False
2018-05-20,20,False
2018-05-27,42,False
2018-06-03,61,False
2018-06-10,38,False
2018-06-17,38,False
2018-06-24,47,False
2018-07-01,40,False
2018-07-08,0,False
2018-07-15,58,False
2018-07-22,36,False
2018-07-29,34,False
2018-08-05,33,False
2018-08-12,55,False
2018-08-19,20,False
2018-08-26,24,False
2018-09-02,19,False
2018-09-09,41,False
2018-09-16,21,False
2018-09-23,60,False
2018-09-30,19,False
2018-10-07,21,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,0,False
2018-11-04,49,False
2018-11-11,21,False
2018-11-18,30,False
2018-11-25,40,False
2018-12-02,43,False
2018-12-09,62,False
2018-12-16,32,False
2018-12-23,44,False
2018-12-30,20,False
2019-01-06,20,False
2019-01-13,30,False
2019-01-20,56,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,58,False
2019-02-17,0,False
2019-02-24,19,False
2019-03-03,21,False
2019-03-10,20,False
2019-03-17,20,False
2019-03-24,0,False
2019-03-31,39,False
2019-04-07,60,False
2019-04-14,42,False
2019-04-21,83,False
2019-04-28,40,False
2019-05-05,40,False
2019-05-12,40,False
2019-05-19,100,False
2019-05-26,28,False
2019-06-02,20,False
2019-06-09,32,False
2019-06-16,20,False
2019-06-23,79,False
2019-06-30,52,False
2019-07-07,20,False
2019-07-14,0,False
2019-07-21,39,False
2019-07-28,18,False
2019-08-04,17,False
2019-08-11,16,False
2019-08-18,0,False
2019-08-25,47,False
2019-09-01,35,False
2019-09-08,20,False
2019-09-15,41,False
2019-09-22,50,False
2019-09-29,0,False
2019-10-06,20,False
2019-10-13,21,False
2019-10-20,40,False
2019-10-27,20,False
2019-11-03,39,False
2019-11-10,0,False
2019-11-17,31,False
2019-11-24,58,False
2019-12-01,41,False
2019-12-08,31,False
2019-12-15,62,False
2019-12-22,21,False
2019-12-29,30,False
2020-01-05,29,False
2020-01-12,37,False
2020-01-19,19,False
2020-01-26,72,False
2020-02-02,18,False
2020-02-09,19,False
2020-02-16,46,False
2020-02-23,34,False
2020-03-01,34,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,14,False
2020-04-05,0,False
2020-04-12,16,False
2020-04-19,0,False
2020-04-26,26,True
