date,Umzugsfirma,isPartial
2018-01-07,39,False
2018-01-14,47,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,25,False
2018-02-11,39,False
2018-02-18,35,False
2018-02-25,24,False
2018-03-04,80,False
2018-03-11,47,False
2018-03-18,35,False
2018-03-25,25,False
2018-04-01,40,False
2018-04-08,25,False
2018-04-15,25,False
2018-04-22,24,False
2018-04-29,37,False
2018-05-06,26,False
2018-05-13,24,False
2018-05-20,26,False
2018-05-27,32,False
2018-06-03,0,False
2018-06-10,93,False
2018-06-17,47,False
2018-06-24,36,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,27,False
2018-07-22,29,False
2018-07-29,86,False
2018-08-05,55,False
2018-08-12,28,False
2018-08-19,26,False
2018-08-26,50,False
2018-09-02,41,False
2018-09-09,36,False
2018-09-16,49,False
2018-09-23,49,False
2018-09-30,0,False
2018-10-07,34,False
2018-10-14,74,False
2018-10-21,51,False
2018-10-28,24,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,59,False
2018-12-02,36,False
2018-12-09,32,False
2018-12-16,34,False
2018-12-23,0,False
2018-12-30,46,False
2019-01-06,34,False
2019-01-13,20,False
2019-01-20,28,False
2019-01-27,55,False
2019-02-03,40,False
2019-02-10,35,False
2019-02-17,23,False
2019-02-24,23,False
2019-03-03,38,False
2019-03-10,38,False
2019-03-17,36,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,28,False
2019-04-14,53,False
2019-04-21,53,False
2019-04-28,51,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,35,False
2019-05-26,49,False
2019-06-02,27,False
2019-06-09,48,False
2019-06-16,24,False
2019-06-23,50,False
2019-06-30,49,False
2019-07-07,84,False
2019-07-14,41,False
2019-07-21,26,False
2019-07-28,24,False
2019-08-04,36,False
2019-08-11,24,False
2019-08-18,23,False
2019-08-25,33,False
2019-09-01,29,False
2019-09-08,23,False
2019-09-15,46,False
2019-09-22,35,False
2019-09-29,21,False
2019-10-06,23,False
2019-10-13,38,False
2019-10-20,22,False
2019-10-27,22,False
2019-11-03,26,False
2019-11-10,45,False
2019-11-17,55,False
2019-11-24,36,False
2019-12-01,27,False
2019-12-08,55,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,47,False
2020-01-05,61,False
2020-01-12,28,False
2020-01-19,58,False
2020-01-26,22,False
2020-02-02,45,False
2020-02-09,57,False
2020-02-16,0,False
2020-02-23,31,False
2020-03-01,30,False
2020-03-08,56,False
2020-03-15,47,False
2020-03-22,34,False
2020-03-29,41,False
2020-04-05,41,False
2020-04-12,37,False
2020-04-19,56,False
2020-04-26,100,False
2020-05-03,56,False
2020-05-10,27,False
2020-05-17,0,True
