date,Umzugsfirma,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,48,False
2018-01-28,64,False
2018-02-04,33,False
2018-02-11,66,False
2018-02-18,33,False
2018-02-25,32,False
2018-03-04,33,False
2018-03-11,49,False
2018-03-18,0,False
2018-03-25,35,False
2018-04-01,0,False
2018-04-08,57,False
2018-04-15,35,False
2018-04-22,33,False
2018-04-29,0,False
2018-05-06,34,False
2018-05-13,33,False
2018-05-20,33,False
2018-05-27,34,False
2018-06-03,34,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,34,False
2018-07-01,34,False
2018-07-08,34,False
2018-07-15,35,False
2018-07-22,0,False
2018-07-29,33,False
2018-08-05,32,False
2018-08-12,49,False
2018-08-19,0,False
2018-08-26,66,False
2018-09-02,33,False
2018-09-09,100,False
2018-09-16,67,False
2018-09-23,56,False
2018-09-30,70,False
2018-10-07,34,False
2018-10-14,67,False
2018-10-21,32,False
2018-10-28,32,False
2018-11-04,95,False
2018-11-11,0,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,48,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,30,False
2019-01-13,30,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,30,False
2019-02-10,46,False
2019-02-17,32,False
2019-02-24,33,False
2019-03-03,31,False
2019-03-10,30,False
2019-03-17,32,False
2019-03-24,43,False
2019-03-31,0,False
2019-04-07,31,False
2019-04-14,33,False
2019-04-21,49,False
2019-04-28,0,False
2019-05-05,31,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,31,False
2019-06-02,47,False
2019-06-09,47,False
2019-06-16,31,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,69,False
2019-07-28,34,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,41,False
2019-09-01,31,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,31,False
2019-10-06,0,False
2019-10-13,30,False
2019-10-20,0,False
2019-10-27,58,False
2019-11-03,28,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,30,False
2019-12-22,0,False
2019-12-29,30,False
2020-01-05,55,False
2020-01-12,0,False
2020-01-19,55,False
2020-01-26,0,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,29,False
2020-02-23,53,False
2020-03-01,27,False
2020-03-08,25,False
2020-03-15,24,False
2020-03-22,69,False
2020-03-29,39,False
2020-04-05,26,False
2020-04-12,49,False
2020-04-19,36,False
2020-04-26,31,False
2020-05-03,48,False
2020-05-10,24,False
2020-05-17,0,True
