date,Umzugsfirma,isPartial
2018-01-07,65,False
2018-01-14,53,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,65,False
2018-02-11,81,False
2018-02-18,48,False
2018-02-25,48,False
2018-03-04,48,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,68,False
2018-04-01,66,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,32,False
2018-04-29,49,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,33,False
2018-05-27,46,False
2018-06-03,75,False
2018-06-10,51,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,0,False
2018-07-08,84,False
2018-07-15,0,False
2018-07-22,56,False
2018-07-29,43,False
2018-08-05,50,False
2018-08-12,76,False
2018-08-19,61,False
2018-08-26,83,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,95,False
2018-09-23,80,False
2018-09-30,67,False
2018-10-07,100,False
2018-10-14,32,False
2018-10-21,31,False
2018-10-28,31,False
2018-11-04,30,False
2018-11-11,31,False
2018-11-18,61,False
2018-11-25,32,False
2018-12-02,47,False
2018-12-09,63,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,65,False
2019-01-06,29,False
2019-01-13,59,False
2019-01-20,29,False
2019-01-27,45,False
2019-02-03,50,False
2019-02-10,30,False
2019-02-17,81,False
2019-02-24,31,False
2019-03-03,30,False
2019-03-10,58,False
2019-03-17,62,False
2019-03-24,46,False
2019-03-31,31,False
2019-04-07,49,False
2019-04-14,34,False
2019-04-21,48,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,31,False
2019-05-19,45,False
2019-05-26,31,False
2019-06-02,44,False
2019-06-09,50,False
2019-06-16,45,False
2019-06-23,30,False
2019-06-30,45,False
2019-07-07,31,False
2019-07-14,43,False
2019-07-21,67,False
2019-07-28,32,False
2019-08-04,63,False
2019-08-11,28,False
2019-08-18,30,False
2019-08-25,58,False
2019-09-01,28,False
2019-09-08,29,False
2019-09-15,44,False
2019-09-22,29,False
2019-09-29,58,False
2019-10-06,49,False
2019-10-13,58,False
2019-10-20,29,False
2019-10-27,71,False
2019-11-03,55,False
2019-11-10,42,False
2019-11-17,42,False
2019-11-24,27,False
2019-12-01,28,False
2019-12-08,27,False
2019-12-15,42,False
2019-12-22,46,False
2019-12-29,29,False
2020-01-05,39,False
2020-01-12,64,False
2020-01-19,45,False
2020-01-26,26,False
2020-02-02,0,False
2020-02-09,52,False
2020-02-16,27,False
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,49,False
2020-03-15,36,False
2020-03-22,37,False
2020-03-29,24,False
2020-04-05,27,False
2020-04-12,0,False
2020-04-19,25,False
2020-04-26,36,False
2020-05-03,49,False
2020-05-10,36,False
2020-05-17,57,True
