date,Nasse Wände,isPartial
2018-01-07,63,False
2018-01-14,80,False
2018-01-21,63,False
2018-01-28,40,False
2018-02-04,69,False
2018-02-11,28,False
2018-02-18,55,False
2018-02-25,45,False
2018-03-04,63,False
2018-03-11,63,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,49,False
2018-04-08,28,False
2018-04-15,57,False
2018-04-22,41,False
2018-04-29,43,False
2018-05-06,58,False
2018-05-13,27,False
2018-05-20,44,False
2018-05-27,66,False
2018-06-03,37,False
2018-06-10,53,False
2018-06-17,45,False
2018-06-24,28,False
2018-07-01,27,False
2018-07-08,54,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,85,False
2018-08-05,28,False
2018-08-12,57,False
2018-08-19,28,False
2018-08-26,28,False
2018-09-02,56,False
2018-09-09,28,False
2018-09-16,41,False
2018-09-23,28,False
2018-09-30,28,False
2018-10-07,41,False
2018-10-14,37,False
2018-10-21,36,False
2018-10-28,40,False
2018-11-04,26,False
2018-11-11,36,False
2018-11-18,26,False
2018-11-25,27,False
2018-12-02,40,False
2018-12-09,53,False
2018-12-16,68,False
2018-12-23,47,False
2018-12-30,47,False
2019-01-06,76,False
2019-01-13,100,False
2019-01-20,33,False
2019-01-27,75,False
2019-02-03,60,False
2019-02-10,26,False
2019-02-17,39,False
2019-02-24,66,False
2019-03-03,94,False
2019-03-10,25,False
2019-03-17,44,False
2019-03-24,53,False
2019-03-31,40,False
2019-04-07,26,False
2019-04-14,38,False
2019-04-21,28,False
2019-04-28,25,False
2019-05-05,42,False
2019-05-12,35,False
2019-05-19,26,False
2019-05-26,71,False
2019-06-02,26,False
2019-06-09,44,False
2019-06-16,53,False
2019-06-23,71,False
2019-06-30,26,False
2019-07-07,77,False
2019-07-14,81,False
2019-07-21,71,False
2019-07-28,27,False
2019-08-04,56,False
2019-08-11,79,False
2019-08-18,27,False
2019-08-25,26,False
2019-09-01,26,False
2019-09-08,26,False
2019-09-15,44,False
2019-09-22,42,False
2019-09-29,34,False
2019-10-06,38,False
2019-10-13,67,False
2019-10-20,37,False
2019-10-27,91,False
2019-11-03,47,False
2019-11-10,32,False
2019-11-17,56,False
2019-11-24,36,False
2019-12-01,49,False
2019-12-08,49,False
2019-12-15,25,False
2019-12-22,42,False
2019-12-29,53,False
2020-01-05,23,False
2020-01-12,33,False
2020-01-19,31,False
2020-01-26,31,False
2020-02-02,69,False
2020-02-09,67,False
2020-02-16,0,False
2020-02-23,53,False
2020-03-01,56,False
2020-03-08,74,False
2020-03-15,42,False
2020-03-22,41,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,58,False
2020-04-19,35,False
2020-04-26,55,False
2020-05-03,21,False
2020-05-10,42,False
