date,ramo novia rosas,isPartial
2018-01-07,31,False
2018-01-14,42,False
2018-01-21,31,False
2018-01-28,42,False
2018-02-04,21,False
2018-02-11,63,False
2018-02-18,21,False
2018-02-25,30,False
2018-03-04,0,False
2018-03-11,60,False
2018-03-18,32,False
2018-03-25,23,False
2018-04-01,43,False
2018-04-08,20,False
2018-04-15,21,False
2018-04-22,41,False
2018-04-29,42,False
2018-05-06,40,False
2018-05-13,42,False
2018-05-20,0,False
2018-05-27,41,False
2018-06-03,100,False
2018-06-10,39,False
2018-06-17,32,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,42,False
2018-07-15,22,False
2018-07-22,22,False
2018-07-29,44,False
2018-08-05,22,False
2018-08-12,23,False
2018-08-19,22,False
2018-08-26,0,False
2018-09-02,41,False
2018-09-09,41,False
2018-09-16,31,False
2018-09-23,60,False
2018-09-30,20,False
2018-10-07,31,False
2018-10-14,20,False
2018-10-21,40,False
2018-10-28,42,False
2018-11-04,29,False
2018-11-11,40,False
2018-11-18,19,False
2018-11-25,0,False
2018-12-02,42,False
2018-12-09,0,False
2018-12-16,21,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,0,False
2019-01-13,39,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,20,False
2019-02-10,20,False
2019-02-17,40,False
2019-02-24,20,False
2019-03-03,21,False
2019-03-10,42,False
2019-03-17,62,False
2019-03-24,61,False
2019-03-31,39,False
2019-04-07,20,False
2019-04-14,21,False
2019-04-21,0,False
2019-04-28,20,False
2019-05-05,29,False
2019-05-12,30,False
2019-05-19,20,False
2019-05-26,39,False
2019-06-02,29,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,0,False
2019-06-30,31,False
2019-07-07,20,False
2019-07-14,0,False
2019-07-21,62,False
2019-07-28,21,False
2019-08-04,22,False
2019-08-11,22,False
2019-08-18,21,False
2019-08-25,0,False
2019-09-01,19,False
2019-09-08,0,False
2019-09-15,37,False
2019-09-22,75,False
2019-09-29,0,False
2019-10-06,37,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,37,False
2019-11-03,18,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,17,False
2019-12-01,0,False
2019-12-08,19,False
2019-12-15,54,False
2019-12-22,20,False
2019-12-29,0,False
2020-01-05,18,False
2020-01-12,25,False
2020-01-19,25,False
2020-01-26,26,False
2020-02-02,34,False
2020-02-09,26,False
2020-02-16,17,False
2020-02-23,25,False
2020-03-01,17,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,27,True
