date,wc bouché,isPartial
2018-01-07,59,False
2018-01-14,39,False
2018-01-21,26,False
2018-01-28,79,False
2018-02-04,33,False
2018-02-11,40,False
2018-02-18,54,False
2018-02-25,73,False
2018-03-04,46,False
2018-03-11,20,False
2018-03-18,47,False
2018-03-25,50,False
2018-04-01,21,False
2018-04-08,70,False
2018-04-15,86,False
2018-04-22,41,False
2018-04-29,31,False
2018-05-06,32,False
2018-05-13,40,False
2018-05-20,41,False
2018-05-27,49,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,30,False
2018-06-24,47,False
2018-07-01,20,False
2018-07-08,41,False
2018-07-15,32,False
2018-07-22,32,False
2018-07-29,44,False
2018-08-05,44,False
2018-08-12,38,False
2018-08-19,33,False
2018-08-26,62,False
2018-09-02,27,False
2018-09-09,51,False
2018-09-16,34,False
2018-09-23,20,False
2018-09-30,41,False
2018-10-07,48,False
2018-10-14,75,False
2018-10-21,20,False
2018-10-28,61,False
2018-11-04,39,False
2018-11-11,33,False
2018-11-18,46,False
2018-11-25,46,False
2018-12-02,20,False
2018-12-09,47,False
2018-12-16,55,False
2018-12-23,62,False
2018-12-30,44,False
2019-01-06,40,False
2019-01-13,50,False
2019-01-20,26,False
2019-01-27,57,False
2019-02-03,45,False
2019-02-10,61,False
2019-02-17,62,False
2019-02-24,67,False
2019-03-03,29,False
2019-03-10,20,False
2019-03-17,30,False
2019-03-24,51,False
2019-03-31,33,False
2019-04-07,67,False
2019-04-14,48,False
2019-04-21,61,False
2019-04-28,39,False
2019-05-05,59,False
2019-05-12,79,False
2019-05-19,45,False
2019-05-26,20,False
2019-06-02,37,False
2019-06-09,48,False
2019-06-16,33,False
2019-06-23,39,False
2019-06-30,20,False
2019-07-07,46,False
2019-07-14,41,False
2019-07-21,27,False
2019-07-28,43,False
2019-08-04,32,False
2019-08-11,42,False
2019-08-18,63,False
2019-08-25,39,False
2019-09-01,19,False
2019-09-08,38,False
2019-09-15,50,False
2019-09-22,36,False
2019-09-29,36,False
2019-10-06,37,False
2019-10-13,55,False
2019-10-20,50,False
2019-10-27,100,False
2019-11-03,54,False
2019-11-10,54,False
2019-11-17,45,False
2019-11-24,29,False
2019-12-01,41,False
2019-12-08,47,False
2019-12-15,78,False
2019-12-22,74,False
2019-12-29,57,False
2020-01-05,69,False
2020-01-12,42,False
2020-01-19,59,False
2020-01-26,63,False
2020-02-02,29,False
2020-02-09,46,False
2020-02-16,47,False
2020-02-23,62,False
2020-03-01,44,False
2020-03-08,44,False
2020-03-15,26,False
2020-03-22,31,False
2020-03-29,26,False
2020-04-05,31,False
2020-04-12,58,False
2020-04-19,31,False
2020-04-26,39,False
2020-05-03,44,False
2020-05-10,21,False
2020-05-17,38,True
