date,wc bouché,isPartial
2018-01-07,40,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,0,False
2018-02-04,30,False
2018-02-11,31,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,0,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,47,False
2018-04-01,32,False
2018-04-08,31,False
2018-04-15,33,False
2018-04-22,33,False
2018-04-29,64,False
2018-05-06,34,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,30,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,60,False
2018-07-08,32,False
2018-07-15,0,False
2018-07-22,35,False
2018-07-29,37,False
2018-08-05,38,False
2018-08-12,40,False
2018-08-19,0,False
2018-08-26,100,False
2018-09-02,47,False
2018-09-09,46,False
2018-09-16,30,False
2018-09-23,0,False
2018-09-30,31,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,32,False
2018-11-04,30,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,30,False
2018-12-02,31,False
2018-12-09,63,False
2018-12-16,32,False
2018-12-23,76,False
2018-12-30,35,False
2019-01-06,31,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,60,False
2019-02-17,30,False
2019-02-24,32,False
2019-03-03,30,False
2019-03-10,31,False
2019-03-17,0,False
2019-03-24,32,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,33,False
2019-04-21,35,False
2019-04-28,34,False
2019-05-05,50,False
2019-05-12,32,False
2019-05-19,32,False
2019-05-26,33,False
2019-06-02,58,False
2019-06-09,0,False
2019-06-16,32,False
2019-06-23,32,False
2019-06-30,33,False
2019-07-07,50,False
2019-07-14,35,False
2019-07-21,37,False
2019-07-28,39,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,32,False
2019-09-08,47,False
2019-09-15,78,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,95,False
2019-10-27,32,False
2019-11-03,30,False
2019-11-10,41,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,58,False
2019-12-08,30,False
2019-12-15,62,False
2019-12-22,37,False
2019-12-29,35,False
2020-01-05,0,False
2020-01-12,59,False
2020-01-19,30,False
2020-01-26,44,False
2020-02-02,30,False
2020-02-09,0,False
2020-02-16,31,False
2020-02-23,29,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,60,False
2020-03-22,31,False
2020-03-29,0,False
2020-04-05,30,False
2020-04-12,46,False
2020-04-19,30,False
2020-04-26,59,False
2020-05-03,84,False
2020-05-10,59,False
2020-05-17,70,True
