date,video pubblicità,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,64,False
2018-02-04,64,False
2018-02-11,34,False
2018-02-18,32,False
2018-02-25,31,False
2018-03-04,66,False
2018-03-11,100,False
2018-03-18,33,False
2018-03-25,35,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,68,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,33,False
2018-05-13,35,False
2018-05-20,67,False
2018-05-27,0,False
2018-06-03,35,False
2018-06-10,0,False
2018-06-17,33,False
2018-06-24,51,False
2018-07-01,66,False
2018-07-08,34,False
2018-07-15,35,False
2018-07-22,0,False
2018-07-29,35,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,40,False
2018-08-26,73,False
2018-09-02,34,False
2018-09-09,33,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,34,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,36,False
2018-11-18,69,False
2018-11-25,34,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,36,False
2018-12-23,0,False
2018-12-30,36,False
2019-01-06,67,False
2019-01-13,0,False
2019-01-20,62,False
2019-01-27,63,False
2019-02-03,32,False
2019-02-10,0,False
2019-02-17,32,False
2019-02-24,0,False
2019-03-03,34,False
2019-03-10,32,False
2019-03-17,34,False
2019-03-24,34,False
2019-03-31,67,False
2019-04-07,33,False
2019-04-14,35,False
2019-04-21,53,False
2019-04-28,0,False
2019-05-05,32,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,34,False
2019-06-09,35,False
2019-06-16,34,False
2019-06-23,35,False
2019-06-30,36,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,38,False
2019-08-25,33,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,31,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,64,False
2019-10-13,47,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,29,False
2019-11-10,62,False
2019-11-17,30,False
2019-11-24,91,False
2019-12-01,64,False
2019-12-08,32,False
2019-12-15,32,False
2019-12-22,69,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,30,False
2020-01-19,0,False
2020-01-26,30,False
2020-02-02,29,False
2020-02-09,0,False
2020-02-16,60,False
2020-02-23,28,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,24,False
2020-03-29,25,False
2020-04-05,27,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
