date,Location Hochzeit,isPartial
2018-01-07,56,False
2018-01-14,47,False
2018-01-21,31,False
2018-01-28,24,False
2018-02-04,16,False
2018-02-11,32,False
2018-02-18,41,False
2018-02-25,33,False
2018-03-04,16,False
2018-03-11,24,False
2018-03-18,16,False
2018-03-25,43,False
2018-04-01,17,False
2018-04-08,34,False
2018-04-15,34,False
2018-04-22,33,False
2018-04-29,17,False
2018-05-06,0,False
2018-05-13,50,False
2018-05-20,45,False
2018-05-27,44,False
2018-06-03,34,False
2018-06-10,48,False
2018-06-17,25,False
2018-06-24,16,False
2018-07-01,56,False
2018-07-08,16,False
2018-07-15,0,False
2018-07-22,34,False
2018-07-29,26,False
2018-08-05,36,False
2018-08-12,0,False
2018-08-19,100,False
2018-08-26,72,False
2018-09-02,26,False
2018-09-09,59,False
2018-09-16,41,False
2018-09-23,25,False
2018-09-30,33,False
2018-10-07,33,False
2018-10-14,49,False
2018-10-21,16,False
2018-10-28,64,False
2018-11-04,23,False
2018-11-11,16,False
2018-11-18,31,False
2018-11-25,23,False
2018-12-02,23,False
2018-12-09,31,False
2018-12-16,24,False
2018-12-23,37,False
2018-12-30,42,False
2019-01-06,45,False
2019-01-13,30,False
2019-01-20,15,False
2019-01-27,37,False
2019-02-03,45,False
2019-02-10,23,False
2019-02-17,46,False
2019-02-24,39,False
2019-03-03,54,False
2019-03-10,30,False
2019-03-17,15,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,23,False
2019-04-14,33,False
2019-04-21,32,False
2019-04-28,0,False
2019-05-05,15,False
2019-05-12,23,False
2019-05-19,22,False
2019-05-26,55,False
2019-06-02,16,False
2019-06-09,32,False
2019-06-16,48,False
2019-06-23,23,False
2019-06-30,30,False
2019-07-07,29,False
2019-07-14,39,False
2019-07-21,24,False
2019-07-28,0,False
2019-08-04,34,False
2019-08-11,33,False
2019-08-18,42,False
2019-08-25,26,False
2019-09-01,56,False
2019-09-08,54,False
2019-09-15,47,False
2019-09-22,52,False
2019-09-29,38,False
2019-10-06,44,False
2019-10-13,14,False
2019-10-20,14,False
2019-10-27,29,False
2019-11-03,14,False
2019-11-10,36,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,14,False
2019-12-08,14,False
2019-12-15,15,False
2019-12-22,33,False
2019-12-29,32,False
2020-01-05,28,False
2020-01-12,27,False
2020-01-19,21,False
2020-01-26,0,False
2020-02-02,47,False
2020-02-09,54,False
2020-02-16,14,False
2020-02-23,20,False
2020-03-01,13,False
2020-03-08,25,False
2020-03-15,12,False
2020-03-22,18,False
2020-03-29,24,False
2020-04-05,13,False
2020-04-12,48,True
