date,Schornsteinsanierung,isPartial
2018-01-07,48,False
2018-01-14,40,False
2018-01-21,48,False
2018-01-28,36,False
2018-02-04,65,False
2018-02-11,33,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,73,False
2018-03-11,64,False
2018-03-18,61,False
2018-03-25,43,False
2018-04-01,52,False
2018-04-08,25,False
2018-04-15,25,False
2018-04-22,37,False
2018-04-29,51,False
2018-05-06,26,False
2018-05-13,0,False
2018-05-20,52,False
2018-05-27,38,False
2018-06-03,49,False
2018-06-10,35,False
2018-06-17,32,False
2018-06-24,50,False
2018-07-01,49,False
2018-07-08,0,False
2018-07-15,38,False
2018-07-22,25,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,76,False
2018-08-19,63,False
2018-08-26,50,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,37,False
2018-09-23,33,False
2018-09-30,49,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,24,False
2018-10-28,48,False
2018-11-04,47,False
2018-11-11,48,False
2018-11-18,57,False
2018-11-25,32,False
2018-12-02,31,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,28,False
2018-12-30,38,False
2019-01-06,34,False
2019-01-13,67,False
2019-01-20,44,False
2019-01-27,52,False
2019-02-03,38,False
2019-02-10,61,False
2019-02-17,46,False
2019-02-24,47,False
2019-03-03,45,False
2019-03-10,45,False
2019-03-17,47,False
2019-03-24,23,False
2019-03-31,71,False
2019-04-07,35,False
2019-04-14,38,False
2019-04-21,41,False
2019-04-28,38,False
2019-05-05,0,False
2019-05-12,47,False
2019-05-19,34,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,36,False
2019-06-16,24,False
2019-06-23,47,False
2019-06-30,23,False
2019-07-07,54,False
2019-07-14,36,False
2019-07-21,25,False
2019-07-28,0,False
2019-08-04,25,False
2019-08-11,31,False
2019-08-18,32,False
2019-08-25,35,False
2019-09-01,46,False
2019-09-08,46,False
2019-09-15,70,False
2019-09-22,52,False
2019-09-29,45,False
2019-10-06,22,False
2019-10-13,74,False
2019-10-20,33,False
2019-10-27,37,False
2019-11-03,35,False
2019-11-10,79,False
2019-11-17,64,False
2019-11-24,42,False
2019-12-01,22,False
2019-12-08,32,False
2019-12-15,33,False
2019-12-22,25,False
2019-12-29,47,False
2020-01-05,35,False
2020-01-12,60,False
2020-01-19,41,False
2020-01-26,41,False
2020-02-02,20,False
2020-02-09,100,False
2020-02-16,21,False
2020-02-23,47,False
2020-03-01,73,False
2020-03-08,38,False
2020-03-15,28,False
2020-03-22,64,False
2020-03-29,27,False
2020-04-05,71,False
2020-04-12,48,False
2020-04-19,28,False
2020-04-26,18,False
2020-05-03,28,False
2020-05-10,56,False
