date,Catering matrimoni,isPartial
2018-01-07,74,False
2018-01-14,60,False
2018-01-21,48,False
2018-01-28,24,False
2018-02-04,0,False
2018-02-11,48,False
2018-02-18,23,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,59,False
2018-03-18,47,False
2018-03-25,100,False
2018-04-01,0,False
2018-04-08,24,False
2018-04-15,24,False
2018-04-22,51,False
2018-04-29,49,False
2018-05-06,24,False
2018-05-13,24,False
2018-05-20,0,False
2018-05-27,24,False
2018-06-03,48,False
2018-06-10,46,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,48,False
2018-07-08,47,False
2018-07-15,24,False
2018-07-22,37,False
2018-07-29,25,False
2018-08-05,26,False
2018-08-12,27,False
2018-08-19,80,False
2018-08-26,86,False
2018-09-02,59,False
2018-09-09,71,False
2018-09-16,35,False
2018-09-23,47,False
2018-09-30,47,False
2018-10-07,48,False
2018-10-14,49,False
2018-10-21,24,False
2018-10-28,23,False
2018-11-04,46,False
2018-11-11,36,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,48,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,57,False
2018-12-30,66,False
2019-01-06,36,False
2019-01-13,58,False
2019-01-20,0,False
2019-01-27,33,False
2019-02-03,23,False
2019-02-10,46,False
2019-02-17,35,False
2019-02-24,23,False
2019-03-03,24,False
2019-03-10,35,False
2019-03-17,48,False
2019-03-24,48,False
2019-03-31,48,False
2019-04-07,47,False
2019-04-14,49,False
2019-04-21,51,False
2019-04-28,47,False
2019-05-05,46,False
2019-05-12,23,False
2019-05-19,68,False
2019-05-26,44,False
2019-06-02,35,False
2019-06-09,59,False
2019-06-16,48,False
2019-06-23,61,False
2019-06-30,24,False
2019-07-07,47,False
2019-07-14,24,False
2019-07-21,49,False
2019-07-28,37,False
2019-08-04,76,False
2019-08-11,27,False
2019-08-18,63,False
2019-08-25,46,False
2019-09-01,32,False
2019-09-08,91,False
2019-09-15,33,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,23,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,22,False
2019-11-03,32,False
2019-11-10,21,False
2019-11-17,0,False
2019-11-24,21,False
2019-12-01,23,False
2019-12-08,22,False
2019-12-15,23,False
2019-12-22,39,False
2019-12-29,0,False
2020-01-05,44,False
2020-01-12,42,False
2020-01-19,31,False
2020-01-26,31,False
2020-02-02,20,False
2020-02-09,42,False
2020-02-16,42,False
2020-02-23,0,False
2020-03-01,39,False
2020-03-08,28,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,18,False
2020-04-26,31,True
