date,torta sacher,isPartial
2018-01-07,26,False
2018-01-14,0,False
2018-01-21,39,False
2018-01-28,37,False
2018-02-04,62,False
2018-02-11,37,False
2018-02-18,0,False
2018-02-25,71,False
2018-03-04,49,False
2018-03-11,24,False
2018-03-18,63,False
2018-03-25,39,False
2018-04-01,27,False
2018-04-08,25,False
2018-04-15,26,False
2018-04-22,26,False
2018-04-29,0,False
2018-05-06,24,False
2018-05-13,0,False
2018-05-20,25,False
2018-05-27,0,False
2018-06-03,25,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,48,False
2018-07-08,36,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,26,False
2018-08-12,0,False
2018-08-19,39,False
2018-08-26,25,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,51,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,76,False
2018-10-28,24,False
2018-11-04,37,False
2018-11-11,39,False
2018-11-18,25,False
2018-11-25,25,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,57,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,72,False
2019-01-27,47,False
2019-02-03,0,False
2019-02-10,100,False
2019-02-17,25,False
2019-02-24,25,False
2019-03-03,52,False
2019-03-10,0,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,25,False
2019-04-07,38,False
2019-04-14,26,False
2019-04-21,25,False
2019-04-28,24,False
2019-05-05,71,False
2019-05-12,24,False
2019-05-19,47,False
2019-05-26,0,False
2019-06-02,25,False
2019-06-09,24,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,24,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,25,False
2019-08-04,26,False
2019-08-11,27,False
2019-08-18,25,False
2019-08-25,70,False
2019-09-01,45,False
2019-09-08,23,False
2019-09-15,46,False
2019-09-22,89,False
2019-09-29,23,False
2019-10-06,47,False
2019-10-13,58,False
2019-10-20,45,False
2019-10-27,55,False
2019-11-03,33,False
2019-11-10,57,False
2019-11-17,87,False
2019-11-24,22,False
2019-12-01,47,False
2019-12-08,69,False
2019-12-15,35,False
2019-12-22,28,False
2019-12-29,26,False
2020-01-05,24,False
2020-01-12,21,False
2020-01-19,23,False
2020-01-26,22,False
2020-02-02,21,False
2020-02-09,0,False
2020-02-16,66,False
2020-02-23,20,False
2020-03-01,41,False
2020-03-08,19,False
2020-03-15,30,False
2020-03-22,54,False
2020-03-29,66,False
2020-04-05,77,False
2020-04-12,49,False
2020-04-19,46,False
2020-04-26,32,True
