date,torta sacher,isPartial
2018-01-07,21,False
2018-01-14,21,False
2018-01-21,21,False
2018-01-28,21,False
2018-02-04,31,False
2018-02-11,32,False
2018-02-18,87,False
2018-02-25,32,False
2018-03-04,44,False
2018-03-11,22,False
2018-03-18,23,False
2018-03-25,69,False
2018-04-01,24,False
2018-04-08,46,False
2018-04-15,0,False
2018-04-22,48,False
2018-04-29,0,False
2018-05-06,23,False
2018-05-13,45,False
2018-05-20,23,False
2018-05-27,0,False
2018-06-03,23,False
2018-06-10,22,False
2018-06-17,23,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,22,False
2018-07-15,23,False
2018-07-22,0,False
2018-07-29,23,False
2018-08-05,35,False
2018-08-12,38,False
2018-08-19,23,False
2018-08-26,22,False
2018-09-02,0,False
2018-09-09,45,False
2018-09-16,44,False
2018-09-23,23,False
2018-09-30,23,False
2018-10-07,70,False
2018-10-14,23,False
2018-10-21,0,False
2018-10-28,43,False
2018-11-04,44,False
2018-11-11,46,False
2018-11-18,23,False
2018-11-25,23,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,49,False
2018-12-23,68,False
2018-12-30,24,False
2019-01-06,0,False
2019-01-13,22,False
2019-01-20,84,False
2019-01-27,21,False
2019-02-03,31,False
2019-02-10,63,False
2019-02-17,22,False
2019-02-24,21,False
2019-03-03,55,False
2019-03-10,32,False
2019-03-17,44,False
2019-03-24,0,False
2019-03-31,21,False
2019-04-07,0,False
2019-04-14,45,False
2019-04-21,67,False
2019-04-28,42,False
2019-05-05,41,False
2019-05-12,20,False
2019-05-19,61,False
2019-05-26,30,False
2019-06-02,22,False
2019-06-09,22,False
2019-06-16,42,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,22,False
2019-07-14,23,False
2019-07-21,0,False
2019-07-28,23,False
2019-08-04,48,False
2019-08-11,51,False
2019-08-18,23,False
2019-08-25,42,False
2019-09-01,20,False
2019-09-08,43,False
2019-09-15,21,False
2019-09-22,42,False
2019-09-29,20,False
2019-10-06,52,False
2019-10-13,61,False
2019-10-20,20,False
2019-10-27,20,False
2019-11-03,49,False
2019-11-10,79,False
2019-11-17,49,False
2019-11-24,20,False
2019-12-01,73,False
2019-12-08,21,False
2019-12-15,62,False
2019-12-22,23,False
2019-12-29,22,False
2020-01-05,0,False
2020-01-12,19,False
2020-01-19,19,False
2020-01-26,0,False
2020-02-02,47,False
2020-02-09,39,False
2020-02-16,38,False
2020-02-23,36,False
2020-03-01,71,False
2020-03-08,26,False
2020-03-15,52,False
2020-03-22,48,False
2020-03-29,100,False
2020-04-05,53,False
2020-04-12,44,False
2020-04-19,59,False
2020-04-26,58,True
