date,Anstrich,isPartial
2018-01-07,0,False
2018-01-14,35,False
2018-01-21,36,False
2018-01-28,36,False
2018-02-04,37,False
2018-02-11,56,False
2018-02-18,0,False
2018-02-25,36,False
2018-03-04,0,False
2018-03-11,73,False
2018-03-18,73,False
2018-03-25,39,False
2018-04-01,39,False
2018-04-08,38,False
2018-04-15,59,False
2018-04-22,37,False
2018-04-29,38,False
2018-05-06,0,False
2018-05-13,56,False
2018-05-20,76,False
2018-05-27,38,False
2018-06-03,76,False
2018-06-10,0,False
2018-06-17,38,False
2018-06-24,39,False
2018-07-01,38,False
2018-07-08,38,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,73,False
2018-08-05,36,False
2018-08-12,37,False
2018-08-19,37,False
2018-08-26,56,False
2018-09-02,73,False
2018-09-09,37,False
2018-09-16,56,False
2018-09-23,56,False
2018-09-30,39,False
2018-10-07,39,False
2018-10-14,37,False
2018-10-21,54,False
2018-10-28,36,False
2018-11-04,35,False
2018-11-11,36,False
2018-11-18,35,False
2018-11-25,53,False
2018-12-02,0,False
2018-12-09,71,False
2018-12-16,37,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,33,False
2019-01-13,34,False
2019-01-20,100,False
2019-01-27,34,False
2019-02-03,34,False
2019-02-10,35,False
2019-02-17,0,False
2019-02-24,37,False
2019-03-03,35,False
2019-03-10,68,False
2019-03-17,35,False
2019-03-24,48,False
2019-03-31,36,False
2019-04-07,35,False
2019-04-14,37,False
2019-04-21,37,False
2019-04-28,36,False
2019-05-05,34,False
2019-05-12,48,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,70,False
2019-06-09,0,False
2019-06-16,36,False
2019-06-23,36,False
2019-06-30,36,False
2019-07-07,36,False
2019-07-14,0,False
2019-07-21,38,False
2019-07-28,38,False
2019-08-04,36,False
2019-08-11,51,False
2019-08-18,35,False
2019-08-25,0,False
2019-09-01,46,False
2019-09-08,35,False
2019-09-15,0,False
2019-09-22,34,False
2019-09-29,70,False
2019-10-06,57,False
2019-10-13,0,False
2019-10-20,33,False
2019-10-27,32,False
2019-11-03,95,False
2019-11-10,48,False
2019-11-17,32,False
2019-11-24,63,False
2019-12-01,33,False
2019-12-08,32,False
2019-12-15,33,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,52,False
2020-01-12,30,False
2020-01-19,31,False
2020-01-26,30,False
2020-02-02,30,False
2020-02-09,30,False
2020-02-16,64,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,56,False
2020-03-15,27,False
2020-03-22,51,False
2020-03-29,26,False
2020-04-05,28,False
2020-04-12,40,False
2020-04-19,80,False
2020-04-26,43,False
2020-05-03,53,False
2020-05-10,54,False
2020-05-17,0,True
