date,Anstrich,isPartial
2018-01-07,20,False
2018-01-14,19,False
2018-01-21,33,False
2018-01-28,19,False
2018-02-04,40,False
2018-02-11,21,False
2018-02-18,30,False
2018-02-25,40,False
2018-03-04,30,False
2018-03-11,27,False
2018-03-18,21,False
2018-03-25,66,False
2018-04-01,67,False
2018-04-08,77,False
2018-04-15,74,False
2018-04-22,61,False
2018-04-29,32,False
2018-05-06,52,False
2018-05-13,27,False
2018-05-20,29,False
2018-05-27,65,False
2018-06-03,41,False
2018-06-10,68,False
2018-06-17,29,False
2018-06-24,29,False
2018-07-01,45,False
2018-07-08,38,False
2018-07-15,29,False
2018-07-22,33,False
2018-07-29,41,False
2018-08-05,63,False
2018-08-12,58,False
2018-08-19,22,False
2018-08-26,22,False
2018-09-02,64,False
2018-09-09,20,False
2018-09-16,61,False
2018-09-23,41,False
2018-09-30,20,False
2018-10-07,51,False
2018-10-14,40,False
2018-10-21,20,False
2018-10-28,61,False
2018-11-04,49,False
2018-11-11,20,False
2018-11-18,38,False
2018-11-25,45,False
2018-12-02,48,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,19,False
2019-01-13,27,False
2019-01-20,37,False
2019-01-27,28,False
2019-02-03,18,False
2019-02-10,37,False
2019-02-17,44,False
2019-02-24,29,False
2019-03-03,29,False
2019-03-10,19,False
2019-03-17,39,False
2019-03-24,33,False
2019-03-31,46,False
2019-04-07,39,False
2019-04-14,42,False
2019-04-21,48,False
2019-04-28,29,False
2019-05-05,19,False
2019-05-12,57,False
2019-05-19,19,False
2019-05-26,29,False
2019-06-02,29,False
2019-06-09,41,False
2019-06-16,100,False
2019-06-23,33,False
2019-06-30,19,False
2019-07-07,92,False
2019-07-14,32,False
2019-07-21,59,False
2019-07-28,39,False
2019-08-04,61,False
2019-08-11,27,False
2019-08-18,31,False
2019-08-25,48,False
2019-09-01,39,False
2019-09-08,45,False
2019-09-15,45,False
2019-09-22,31,False
2019-09-29,37,False
2019-10-06,24,False
2019-10-13,36,False
2019-10-20,42,False
2019-10-27,72,False
2019-11-03,61,False
2019-11-10,45,False
2019-11-17,47,False
2019-11-24,62,False
2019-12-01,24,False
2019-12-08,36,False
2019-12-15,19,False
2019-12-22,22,False
2019-12-29,46,False
2020-01-05,23,False
2020-01-12,34,False
2020-01-19,34,False
2020-01-26,17,False
2020-02-02,25,False
2020-02-09,55,False
2020-02-16,26,False
2020-02-23,57,False
2020-03-01,33,False
2020-03-08,32,False
2020-03-15,46,False
2020-03-22,36,False
2020-03-29,41,False
2020-04-05,74,False
2020-04-12,22,False
2020-04-19,74,False
2020-04-26,52,False
2020-05-03,68,False
2020-05-10,47,False
2020-05-17,38,True
