date,Anstrich,isPartial
2018-01-07,18,False
2018-01-14,18,False
2018-01-21,18,False
2018-01-28,53,False
2018-02-04,18,False
2018-02-11,0,False
2018-02-18,28,False
2018-02-25,18,False
2018-03-04,0,False
2018-03-11,18,False
2018-03-18,37,False
2018-03-25,100,False
2018-04-01,0,False
2018-04-08,29,False
2018-04-15,20,False
2018-04-22,19,False
2018-04-29,20,False
2018-05-06,20,False
2018-05-13,19,False
2018-05-20,19,False
2018-05-27,20,False
2018-06-03,0,False
2018-06-10,19,False
2018-06-17,19,False
2018-06-24,20,False
2018-07-01,20,False
2018-07-08,40,False
2018-07-15,0,False
2018-07-22,20,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,39,False
2018-08-19,38,False
2018-08-26,18,False
2018-09-02,18,False
2018-09-09,37,False
2018-09-16,19,False
2018-09-23,19,False
2018-09-30,40,False
2018-10-07,19,False
2018-10-14,19,False
2018-10-21,27,False
2018-10-28,18,False
2018-11-04,18,False
2018-11-11,0,False
2018-11-18,18,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,39,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,0,False
2019-01-13,37,False
2019-01-20,0,False
2019-01-27,18,False
2019-02-03,18,False
2019-02-10,27,False
2019-02-17,27,False
2019-02-24,38,False
2019-03-03,18,False
2019-03-10,27,False
2019-03-17,37,False
2019-03-24,18,False
2019-03-31,18,False
2019-04-07,18,False
2019-04-14,20,False
2019-04-21,29,False
2019-04-28,75,False
2019-05-05,18,False
2019-05-12,18,False
2019-05-19,27,False
2019-05-26,19,False
2019-06-02,18,False
2019-06-09,36,False
2019-06-16,19,False
2019-06-23,19,False
2019-06-30,19,False
2019-07-07,47,False
2019-07-14,39,False
2019-07-21,20,False
2019-07-28,20,False
2019-08-04,19,False
2019-08-11,18,False
2019-08-18,18,False
2019-08-25,0,False
2019-09-01,18,False
2019-09-08,18,False
2019-09-15,56,False
2019-09-22,27,False
2019-09-29,19,False
2019-10-06,18,False
2019-10-13,17,False
2019-10-20,17,False
2019-10-27,0,False
2019-11-03,17,False
2019-11-10,0,False
2019-11-17,34,False
2019-11-24,25,False
2019-12-01,17,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,21,False
2019-12-29,29,False
2020-01-05,35,False
2020-01-12,0,False
2020-01-19,50,False
2020-01-26,16,False
2020-02-02,24,False
2020-02-09,0,False
2020-02-16,17,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,30,False
2020-03-15,45,False
2020-03-22,31,False
2020-03-29,30,False
2020-04-05,50,False
2020-04-12,16,False
2020-04-19,23,False
2020-04-26,31,False
2020-05-03,38,False
2020-05-10,23,False
2020-05-17,37,True
