date,Anstrich,isPartial
2018-01-07,54,False
2018-01-14,52,False
2018-01-21,26,False
2018-01-28,54,False
2018-02-04,27,False
2018-02-11,27,False
2018-02-18,41,False
2018-02-25,82,False
2018-03-04,28,False
2018-03-11,27,False
2018-03-18,55,False
2018-03-25,29,False
2018-04-01,39,False
2018-04-08,47,False
2018-04-15,76,False
2018-04-22,0,False
2018-04-29,29,False
2018-05-06,0,False
2018-05-13,47,False
2018-05-20,51,False
2018-05-27,40,False
2018-06-03,57,False
2018-06-10,73,False
2018-06-17,42,False
2018-06-24,56,False
2018-07-01,41,False
2018-07-08,55,False
2018-07-15,42,False
2018-07-22,28,False
2018-07-29,29,False
2018-08-05,45,False
2018-08-12,31,False
2018-08-19,92,False
2018-08-26,46,False
2018-09-02,43,False
2018-09-09,0,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,43,False
2018-10-07,28,False
2018-10-14,41,False
2018-10-21,62,False
2018-10-28,54,False
2018-11-04,53,False
2018-11-11,53,False
2018-11-18,25,False
2018-11-25,39,False
2018-12-02,26,False
2018-12-09,52,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,43,False
2019-01-06,63,False
2019-01-13,25,False
2019-01-20,100,False
2019-01-27,50,False
2019-02-03,50,False
2019-02-10,51,False
2019-02-17,77,False
2019-02-24,26,False
2019-03-03,44,False
2019-03-10,50,False
2019-03-17,53,False
2019-03-24,43,False
2019-03-31,78,False
2019-04-07,77,False
2019-04-14,65,False
2019-04-21,46,False
2019-04-28,61,False
2019-05-05,38,False
2019-05-12,26,False
2019-05-19,34,False
2019-05-26,27,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,83,False
2019-06-23,52,False
2019-06-30,43,False
2019-07-07,50,False
2019-07-14,39,False
2019-07-21,27,False
2019-07-28,41,False
2019-08-04,57,False
2019-08-11,28,False
2019-08-18,29,False
2019-08-25,57,False
2019-09-01,54,False
2019-09-08,44,False
2019-09-15,92,False
2019-09-22,25,False
2019-09-29,26,False
2019-10-06,50,False
2019-10-13,61,False
2019-10-20,25,False
2019-10-27,62,False
2019-11-03,36,False
2019-11-10,37,False
2019-11-17,71,False
2019-11-24,35,False
2019-12-01,25,False
2019-12-08,24,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,36,False
2020-01-05,36,False
2020-01-12,34,False
2020-01-19,46,False
2020-01-26,30,False
2020-02-02,0,False
2020-02-09,34,False
2020-02-16,39,False
2020-02-23,38,False
2020-03-01,56,False
2020-03-08,35,False
2020-03-15,41,False
2020-03-22,20,False
2020-03-29,55,False
2020-04-05,45,False
2020-04-12,43,False
2020-04-19,69,False
2020-04-26,47,False
2020-05-03,48,False
2020-05-10,48,False
2020-05-17,99,True
