date,Landschaft,isPartial
2018-01-07,35,False
2018-01-14,35,False
2018-01-21,59,False
2018-01-28,58,False
2018-02-04,48,False
2018-02-11,36,False
2018-02-18,24,False
2018-02-25,37,False
2018-03-04,23,False
2018-03-11,23,False
2018-03-18,36,False
2018-03-25,49,False
2018-04-01,0,False
2018-04-08,26,False
2018-04-15,28,False
2018-04-22,0,False
2018-04-29,54,False
2018-05-06,50,False
2018-05-13,70,False
2018-05-20,25,False
2018-05-27,51,False
2018-06-03,71,False
2018-06-10,35,False
2018-06-17,0,False
2018-06-24,24,False
2018-07-01,24,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,50,False
2018-07-29,25,False
2018-08-05,24,False
2018-08-12,75,False
2018-08-19,36,False
2018-08-26,48,False
2018-09-02,48,False
2018-09-09,25,False
2018-09-16,24,False
2018-09-23,25,False
2018-09-30,0,False
2018-10-07,28,False
2018-10-14,30,False
2018-10-21,58,False
2018-10-28,26,False
2018-11-04,100,False
2018-11-11,45,False
2018-11-18,75,False
2018-11-25,59,False
2018-12-02,28,False
2018-12-09,42,False
2018-12-16,0,False
2018-12-23,33,False
2018-12-30,73,False
2019-01-06,33,False
2019-01-13,22,False
2019-01-20,55,False
2019-01-27,66,False
2019-02-03,22,False
2019-02-10,0,False
2019-02-17,23,False
2019-02-24,45,False
2019-03-03,35,False
2019-03-10,23,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,46,False
2019-04-07,0,False
2019-04-14,49,False
2019-04-21,24,False
2019-04-28,45,False
2019-05-05,22,False
2019-05-12,43,False
2019-05-19,44,False
2019-05-26,22,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,23,False
2019-06-23,0,False
2019-06-30,22,False
2019-07-07,44,False
2019-07-14,47,False
2019-07-21,36,False
2019-07-28,23,False
2019-08-04,48,False
2019-08-11,24,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,24,False
2019-09-29,56,False
2019-10-06,36,False
2019-10-13,25,False
2019-10-20,37,False
2019-10-27,25,False
2019-11-03,24,False
2019-11-10,93,False
2019-11-17,48,False
2019-11-24,36,False
2019-12-01,24,False
2019-12-08,50,False
2019-12-15,76,False
2019-12-22,83,False
2019-12-29,21,False
2020-01-05,57,False
2020-01-12,21,False
2020-01-19,33,False
2020-01-26,22,False
2020-02-02,0,False
2020-02-09,20,False
2020-02-16,46,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,32,False
2020-03-15,31,False
2020-03-22,17,False
2020-03-29,26,False
2020-04-05,20,False
2020-04-12,56,False
2020-04-19,55,False
2020-04-26,46,False
2020-05-03,38,False
2020-05-10,20,False
2020-05-17,21,False
2020-05-24,39,False
2020-05-31,58,False
2020-06-07,42,False
2020-06-14,38,False
2020-06-21,32,False
2020-06-28,42,False
2020-07-05,22,False
