date,Barbecue,isPartial
2018-01-07,4,False
2018-01-14,9,False
2018-01-21,2,False
2018-01-28,6,False
2018-02-04,8,False
2018-02-11,3,False
2018-02-18,10,False
2018-02-25,5,False
2018-03-04,7,False
2018-03-11,11,False
2018-03-18,10,False
2018-03-25,19,False
2018-04-01,21,False
2018-04-08,32,False
2018-04-15,80,False
2018-04-22,42,False
2018-04-29,45,False
2018-05-06,77,False
2018-05-13,40,False
2018-05-20,49,False
2018-05-27,50,False
2018-06-03,38,False
2018-06-10,33,False
2018-06-17,40,False
2018-06-24,61,False
2018-07-01,39,False
2018-07-08,48,False
2018-07-15,43,False
2018-07-22,51,False
2018-07-29,48,False
2018-08-05,38,False
2018-08-12,35,False
2018-08-19,27,False
2018-08-26,18,False
2018-09-02,12,False
2018-09-09,11,False
2018-09-16,14,False
2018-09-23,8,False
2018-09-30,5,False
2018-10-07,10,False
2018-10-14,9,False
2018-10-21,5,False
2018-10-28,4,False
2018-11-04,7,False
2018-11-11,5,False
2018-11-18,7,False
2018-11-25,7,False
2018-12-02,4,False
2018-12-09,6,False
2018-12-16,6,False
2018-12-23,7,False
2018-12-30,3,False
2019-01-06,7,False
2019-01-13,4,False
2019-01-20,4,False
2019-01-27,7,False
2019-02-03,5,False
2019-02-10,9,False
2019-02-17,18,False
2019-02-24,25,False
2019-03-03,17,False
2019-03-10,14,False
2019-03-17,18,False
2019-03-24,29,False
2019-03-31,33,False
2019-04-07,38,False
2019-04-14,50,False
2019-04-21,43,False
2019-04-28,28,False
2019-05-05,30,False
2019-05-12,34,False
2019-05-19,31,False
2019-05-26,51,False
2019-06-02,34,False
2019-06-09,27,False
2019-06-16,45,False
2019-06-23,62,False
2019-06-30,60,False
2019-07-07,40,False
2019-07-14,46,False
2019-07-21,34,False
2019-07-28,43,False
2019-08-04,40,False
2019-08-11,28,False
2019-08-18,44,False
2019-08-25,29,False
2019-09-01,15,False
2019-09-08,13,False
2019-09-15,21,False
2019-09-22,9,False
2019-09-29,8,False
2019-10-06,4,False
2019-10-13,5,False
2019-10-20,5,False
2019-10-27,6,False
2019-11-03,8,False
2019-11-10,7,False
2019-11-17,6,False
2019-11-24,2,False
2019-12-01,4,False
2019-12-08,6,False
2019-12-15,5,False
2019-12-22,4,False
2019-12-29,7,False
2020-01-05,9,False
2020-01-12,8,False
2020-01-19,6,False
2020-01-26,10,False
2020-02-02,8,False
2020-02-09,7,False
2020-02-16,6,False
2020-02-23,6,False
2020-03-01,5,False
2020-03-08,10,False
2020-03-15,20,False
2020-03-22,31,False
2020-03-29,46,False
2020-04-05,100,False
2020-04-12,63,False
2020-04-19,79,False
2020-04-26,40,False
2020-05-03,50,False
2020-05-10,51,False
2020-05-17,78,True
