date,Barbecue,isPartial
2018-01-07,16,False
2018-01-14,12,False
2018-01-21,17,False
2018-01-28,6,False
2018-02-04,12,False
2018-02-11,10,False
2018-02-18,7,False
2018-02-25,9,False
2018-03-04,6,False
2018-03-11,9,False
2018-03-18,9,False
2018-03-25,16,False
2018-04-01,31,False
2018-04-08,17,False
2018-04-15,65,False
2018-04-22,49,False
2018-04-29,45,False
2018-05-06,87,False
2018-05-13,33,False
2018-05-20,58,False
2018-05-27,29,False
2018-06-03,29,False
2018-06-10,30,False
2018-06-17,35,False
2018-06-24,64,False
2018-07-01,55,False
2018-07-08,62,False
2018-07-15,57,False
2018-07-22,40,False
2018-07-29,69,False
2018-08-05,61,False
2018-08-12,57,False
2018-08-19,39,False
2018-08-26,38,False
2018-09-02,21,False
2018-09-09,13,False
2018-09-16,15,False
2018-09-23,10,False
2018-09-30,13,False
2018-10-07,26,False
2018-10-14,6,False
2018-10-21,9,False
2018-10-28,20,False
2018-11-04,6,False
2018-11-11,0,False
2018-11-18,10,False
2018-11-25,6,False
2018-12-02,12,False
2018-12-09,12,False
2018-12-16,12,False
2018-12-23,11,False
2018-12-30,6,False
2019-01-06,9,False
2019-01-13,9,False
2019-01-20,5,False
2019-01-27,7,False
2019-02-03,11,False
2019-02-10,6,False
2019-02-17,11,False
2019-02-24,14,False
2019-03-03,8,False
2019-03-10,12,False
2019-03-17,24,False
2019-03-24,51,False
2019-03-31,18,False
2019-04-07,23,False
2019-04-14,31,False
2019-04-21,28,False
2019-04-28,32,False
2019-05-05,21,False
2019-05-12,25,False
2019-05-19,38,False
2019-05-26,36,False
2019-06-02,48,False
2019-06-09,24,False
2019-06-16,39,False
2019-06-23,48,False
2019-06-30,29,False
2019-07-07,55,False
2019-07-14,69,False
2019-07-21,55,False
2019-07-28,65,False
2019-08-04,61,False
2019-08-11,29,False
2019-08-18,46,False
2019-08-25,23,False
2019-09-01,17,False
2019-09-08,27,False
2019-09-15,17,False
2019-09-22,13,False
2019-09-29,5,False
2019-10-06,5,False
2019-10-13,11,False
2019-10-20,7,False
2019-10-27,16,False
2019-11-03,7,False
2019-11-10,12,False
2019-11-17,12,False
2019-11-24,10,False
2019-12-01,5,False
2019-12-08,7,False
2019-12-15,5,False
2019-12-22,11,False
2019-12-29,7,False
2020-01-05,7,False
2020-01-12,10,False
2020-01-19,11,False
2020-01-26,15,False
2020-02-02,12,False
2020-02-09,12,False
2020-02-16,9,False
2020-02-23,20,False
2020-03-01,8,False
2020-03-08,11,False
2020-03-15,25,False
2020-03-22,16,False
2020-03-29,34,False
2020-04-05,51,False
2020-04-12,69,False
2020-04-19,40,False
2020-04-26,36,False
2020-05-03,63,False
2020-05-10,42,False
2020-05-17,100,True
