date,reparation volet,isPartial
2018-01-07,42,False
2018-01-14,62,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,48,False
2018-02-18,100,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,65,False
2018-04-01,99,False
2018-04-08,80,False
2018-04-15,34,False
2018-04-22,45,False
2018-04-29,49,False
2018-05-06,35,False
2018-05-13,32,False
2018-05-20,33,False
2018-05-27,52,False
2018-06-03,0,False
2018-06-10,61,False
2018-06-17,41,False
2018-06-24,47,False
2018-07-01,62,False
2018-07-08,33,False
2018-07-15,0,False
2018-07-22,36,False
2018-07-29,93,False
2018-08-05,66,False
2018-08-12,42,False
2018-08-19,57,False
2018-08-26,68,False
2018-09-02,75,False
2018-09-09,0,False
2018-09-16,62,False
2018-09-23,47,False
2018-09-30,63,False
2018-10-07,63,False
2018-10-14,50,False
2018-10-21,31,False
2018-10-28,83,False
2018-11-04,94,False
2018-11-11,61,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,32,False
2018-12-16,49,False
2018-12-23,60,False
2018-12-30,0,False
2019-01-06,63,False
2019-01-13,47,False
2019-01-20,61,False
2019-01-27,46,False
2019-02-03,29,False
2019-02-10,31,False
2019-02-17,31,False
2019-02-24,43,False
2019-03-03,31,False
2019-03-10,32,False
2019-03-17,64,False
2019-03-24,33,False
2019-03-31,43,False
2019-04-07,50,False
2019-04-14,34,False
2019-04-21,71,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,68,False
2019-05-19,33,False
2019-05-26,51,False
2019-06-02,60,False
2019-06-09,49,False
2019-06-16,33,False
2019-06-23,44,False
2019-06-30,44,False
2019-07-07,68,False
2019-07-14,36,False
2019-07-21,38,False
2019-07-28,40,False
2019-08-04,42,False
2019-08-11,44,False
2019-08-18,69,False
2019-08-25,55,False
2019-09-01,33,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,52,False
2019-09-29,62,False
2019-10-06,32,False
2019-10-13,32,False
2019-10-20,65,False
2019-10-27,33,False
2019-11-03,92,False
2019-11-10,64,False
2019-11-17,79,False
2019-11-24,62,False
2019-12-01,40,False
2019-12-08,30,False
2019-12-15,31,False
2019-12-22,57,False
2019-12-29,72,False
2020-01-05,30,False
2020-01-12,61,False
2020-01-19,47,False
2020-01-26,30,False
2020-02-02,31,False
2020-02-09,93,False
2020-02-16,48,False
2020-02-23,39,False
2020-03-01,58,False
2020-03-08,29,False
2020-03-15,31,False
2020-03-22,31,False
2020-03-29,31,False
2020-04-05,31,False
2020-04-12,31,False
2020-04-19,0,False
2020-04-26,30,False
2020-05-03,29,False
2020-05-10,45,False
2020-05-17,52,False
2020-05-24,30,False
2020-05-31,38,False
2020-06-07,58,False
2020-06-14,59,False
2020-06-21,0,True
