date,reparation volet,isPartial
2018-01-07,64,False
2018-01-14,41,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,42,False
2018-02-11,42,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,62,False
2018-03-11,41,False
2018-03-18,42,False
2018-03-25,43,False
2018-04-01,45,False
2018-04-08,0,False
2018-04-15,48,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,70,False
2018-05-13,43,False
2018-05-20,45,False
2018-05-27,87,False
2018-06-03,0,False
2018-06-10,57,False
2018-06-17,45,False
2018-06-24,45,False
2018-07-01,44,False
2018-07-08,45,False
2018-07-15,46,False
2018-07-22,47,False
2018-07-29,48,False
2018-08-05,49,False
2018-08-12,49,False
2018-08-19,0,False
2018-08-26,46,False
2018-09-02,90,False
2018-09-09,0,False
2018-09-16,45,False
2018-09-23,0,False
2018-09-30,90,False
2018-10-07,67,False
2018-10-14,46,False
2018-10-21,46,False
2018-10-28,67,False
2018-11-04,72,False
2018-11-11,0,False
2018-11-18,43,False
2018-11-25,44,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,45,False
2018-12-23,49,False
2018-12-30,46,False
2019-01-06,42,False
2019-01-13,63,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,42,False
2019-02-10,42,False
2019-02-17,44,False
2019-02-24,43,False
2019-03-03,0,False
2019-03-10,41,False
2019-03-17,44,False
2019-03-24,42,False
2019-03-31,40,False
2019-04-07,81,False
2019-04-14,42,False
2019-04-21,63,False
2019-04-28,0,False
2019-05-05,39,False
2019-05-12,0,False
2019-05-19,40,False
2019-05-26,0,False
2019-06-02,60,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,41,False
2019-07-07,100,False
2019-07-14,0,False
2019-07-21,42,False
2019-07-28,64,False
2019-08-04,43,False
2019-08-11,46,False
2019-08-18,47,False
2019-08-25,43,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,40,False
2019-10-06,60,False
2019-10-13,0,False
2019-10-20,40,False
2019-10-27,76,False
2019-11-03,37,False
2019-11-10,0,False
2019-11-17,37,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,36,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,37,False
2020-01-12,36,False
2020-01-19,73,False
2020-01-26,35,False
2020-02-02,35,False
2020-02-09,0,False
2020-02-16,35,False
2020-02-23,69,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,32,False
2020-03-29,32,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,62,False
2020-05-10,64,False
2020-05-17,35,False
2020-05-24,51,False
2020-05-31,33,False
2020-06-07,32,False
2020-06-14,0,False
