date,organizzare eventi,isPartial
2018-01-07,55,False
2018-01-14,18,False
2018-01-21,63,False
2018-01-28,54,False
2018-02-04,18,False
2018-02-11,18,False
2018-02-18,61,False
2018-02-25,26,False
2018-03-04,44,False
2018-03-11,71,False
2018-03-18,71,False
2018-03-25,19,False
2018-04-01,48,False
2018-04-08,36,False
2018-04-15,46,False
2018-04-22,38,False
2018-04-29,27,False
2018-05-06,36,False
2018-05-13,36,False
2018-05-20,18,False
2018-05-27,55,False
2018-06-03,46,False
2018-06-10,52,False
2018-06-17,36,False
2018-06-24,37,False
2018-07-01,27,False
2018-07-08,54,False
2018-07-15,46,False
2018-07-22,55,False
2018-07-29,19,False
2018-08-05,58,False
2018-08-12,31,False
2018-08-19,40,False
2018-08-26,37,False
2018-09-02,44,False
2018-09-09,27,False
2018-09-16,35,False
2018-09-23,53,False
2018-09-30,36,False
2018-10-07,100,False
2018-10-14,28,False
2018-10-21,54,False
2018-10-28,36,False
2018-11-04,43,False
2018-11-11,54,False
2018-11-18,26,False
2018-11-25,36,False
2018-12-02,46,False
2018-12-09,27,False
2018-12-16,19,False
2018-12-23,21,False
2018-12-30,29,False
2019-01-06,54,False
2019-01-13,35,False
2019-01-20,17,False
2019-01-27,33,False
2019-02-03,68,False
2019-02-10,34,False
2019-02-17,18,False
2019-02-24,43,False
2019-03-03,45,False
2019-03-10,62,False
2019-03-17,36,False
2019-03-24,18,False
2019-03-31,53,False
2019-04-07,35,False
2019-04-14,18,False
2019-04-21,57,False
2019-04-28,54,False
2019-05-05,17,False
2019-05-12,34,False
2019-05-19,68,False
2019-05-26,33,False
2019-06-02,27,False
2019-06-09,36,False
2019-06-16,18,False
2019-06-23,55,False
2019-06-30,36,False
2019-07-07,88,False
2019-07-14,36,False
2019-07-21,37,False
2019-07-28,46,False
2019-08-04,0,False
2019-08-11,31,False
2019-08-18,19,False
2019-08-25,69,False
2019-09-01,49,False
2019-09-08,68,False
2019-09-15,41,False
2019-09-22,33,False
2019-09-29,50,False
2019-10-06,76,False
2019-10-13,42,False
2019-10-20,32,False
2019-10-27,33,False
2019-11-03,64,False
2019-11-10,24,False
2019-11-17,40,False
2019-11-24,56,False
2019-12-01,50,False
2019-12-08,17,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,41,False
2020-01-12,54,False
2020-01-19,55,False
2020-01-26,31,False
2020-02-02,31,False
2020-02-09,32,False
2020-02-16,78,False
2020-02-23,29,False
2020-03-01,29,False
2020-03-08,14,False
2020-03-15,14,False
2020-03-22,0,False
2020-03-29,41,False
2020-04-05,21,False
2020-04-12,21,False
2020-04-19,0,False
2020-04-26,24,True
