date,film maker,isPartial
2018-01-07,20,False
2018-01-14,39,False
2018-01-21,78,False
2018-01-28,39,False
2018-02-04,19,False
2018-02-11,59,False
2018-02-18,19,False
2018-02-25,19,False
2018-03-04,38,False
2018-03-11,0,False
2018-03-18,58,False
2018-03-25,21,False
2018-04-01,21,False
2018-04-08,19,False
2018-04-15,0,False
2018-04-22,42,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,39,False
2018-05-27,20,False
2018-06-03,40,False
2018-06-10,0,False
2018-06-17,59,False
2018-06-24,20,False
2018-07-01,20,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,40,False
2018-07-29,40,False
2018-08-05,0,False
2018-08-12,22,False
2018-08-19,43,False
2018-08-26,20,False
2018-09-02,0,False
2018-09-09,38,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,38,False
2018-10-07,39,False
2018-10-14,40,False
2018-10-21,19,False
2018-10-28,19,False
2018-11-04,56,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,19,False
2018-12-02,39,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,22,False
2019-01-06,20,False
2019-01-13,0,False
2019-01-20,37,False
2019-01-27,18,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,0,False
2019-02-24,19,False
2019-03-03,20,False
2019-03-10,38,False
2019-03-17,0,False
2019-03-24,20,False
2019-03-31,20,False
2019-04-07,19,False
2019-04-14,20,False
2019-04-21,0,False
2019-04-28,20,False
2019-05-05,19,False
2019-05-12,37,False
2019-05-19,0,False
2019-05-26,18,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,0,False
2019-07-14,20,False
2019-07-21,100,False
2019-07-28,20,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,21,False
2019-08-25,19,False
2019-09-01,18,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,18,False
2019-09-29,0,False
2019-10-06,18,False
2019-10-13,0,False
2019-10-20,18,False
2019-10-27,18,False
2019-11-03,35,False
2019-11-10,18,False
2019-11-17,53,False
2019-11-24,0,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,18,False
2019-12-22,63,False
2019-12-29,60,False
2020-01-05,0,False
2020-01-12,17,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,34,False
2020-02-23,16,False
2020-03-01,32,False
2020-03-08,0,False
2020-03-15,46,False
2020-03-22,15,False
2020-03-29,44,False
2020-04-05,46,False
2020-04-12,47,False
2020-04-19,45,False
2020-04-26,51,True
