date,pisciniste,isPartial
2018-01-07,34,False
2018-01-14,0,False
2018-01-21,13,False
2018-01-28,13,False
2018-02-04,17,False
2018-02-11,0,False
2018-02-18,9,False
2018-02-25,23,False
2018-03-04,9,False
2018-03-11,22,False
2018-03-18,13,False
2018-03-25,13,False
2018-04-01,18,False
2018-04-08,35,False
2018-04-15,51,False
2018-04-22,23,False
2018-04-29,18,False
2018-05-06,47,False
2018-05-13,21,False
2018-05-20,18,False
2018-05-27,25,False
2018-06-03,34,False
2018-06-10,17,False
2018-06-17,34,False
2018-06-24,56,False
2018-07-01,34,False
2018-07-08,22,False
2018-07-15,57,False
2018-07-22,54,False
2018-07-29,51,False
2018-08-05,49,False
2018-08-12,62,False
2018-08-19,31,False
2018-08-26,19,False
2018-09-02,18,False
2018-09-09,8,False
2018-09-16,17,False
2018-09-23,9,False
2018-09-30,26,False
2018-10-07,29,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,9,False
2018-11-04,21,False
2018-11-11,20,False
2018-11-18,12,False
2018-11-25,26,False
2018-12-02,17,False
2018-12-09,13,False
2018-12-16,0,False
2018-12-23,11,False
2018-12-30,10,False
2019-01-06,21,False
2019-01-13,17,False
2019-01-20,8,False
2019-01-27,21,False
2019-02-03,12,False
2019-02-10,17,False
2019-02-17,21,False
2019-02-24,22,False
2019-03-03,34,False
2019-03-10,30,False
2019-03-17,17,False
2019-03-24,14,False
2019-03-31,9,False
2019-04-07,27,False
2019-04-14,23,False
2019-04-21,15,False
2019-04-28,14,False
2019-05-05,14,False
2019-05-12,9,False
2019-05-19,36,False
2019-05-26,28,False
2019-06-02,41,False
2019-06-09,40,False
2019-06-16,31,False
2019-06-23,77,False
2019-06-30,59,False
2019-07-07,64,False
2019-07-14,20,False
2019-07-21,52,False
2019-07-28,38,False
2019-08-04,57,False
2019-08-11,18,False
2019-08-18,51,False
2019-08-25,55,False
2019-09-01,22,False
2019-09-08,18,False
2019-09-15,22,False
2019-09-22,21,False
2019-09-29,29,False
2019-10-06,0,False
2019-10-13,13,False
2019-10-20,18,False
2019-10-27,45,False
2019-11-03,13,False
2019-11-10,17,False
2019-11-17,22,False
2019-11-24,8,False
2019-12-01,8,False
2019-12-08,12,False
2019-12-15,17,False
2019-12-22,15,False
2019-12-29,0,False
2020-01-05,8,False
2020-01-12,16,False
2020-01-19,8,False
2020-01-26,8,False
2020-02-02,17,False
2020-02-09,25,False
2020-02-16,17,False
2020-02-23,8,False
2020-03-01,16,False
2020-03-08,8,False
2020-03-15,8,False
2020-03-22,34,False
2020-03-29,8,False
2020-04-05,55,False
2020-04-12,22,False
2020-04-19,37,False
2020-04-26,20,False
2020-05-03,43,False
2020-05-10,49,False
2020-05-17,98,False
2020-05-24,81,False
2020-05-31,42,False
2020-06-07,56,False
2020-06-14,32,False
2020-06-21,100,True
