date,pisciniste,isPartial
2018-01-07,22,False
2018-01-14,43,False
2018-01-21,44,False
2018-01-28,22,False
2018-02-04,0,False
2018-02-11,22,False
2018-02-18,67,False
2018-02-25,45,False
2018-03-04,22,False
2018-03-11,44,False
2018-03-18,22,False
2018-03-25,22,False
2018-04-01,35,False
2018-04-08,88,False
2018-04-15,41,False
2018-04-22,36,False
2018-04-29,22,False
2018-05-06,70,False
2018-05-13,23,False
2018-05-20,47,False
2018-05-27,45,False
2018-06-03,45,False
2018-06-10,32,False
2018-06-17,47,False
2018-06-24,47,False
2018-07-01,30,False
2018-07-08,63,False
2018-07-15,49,False
2018-07-22,73,False
2018-07-29,37,False
2018-08-05,41,False
2018-08-12,38,False
2018-08-19,50,False
2018-08-26,48,False
2018-09-02,47,False
2018-09-09,70,False
2018-09-16,23,False
2018-09-23,47,False
2018-09-30,24,False
2018-10-07,46,False
2018-10-14,31,False
2018-10-21,36,False
2018-10-28,23,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,22,False
2018-11-25,22,False
2018-12-02,22,False
2018-12-09,0,False
2018-12-16,23,False
2018-12-23,27,False
2018-12-30,25,False
2019-01-06,45,False
2019-01-13,22,False
2019-01-20,36,False
2019-01-27,43,False
2019-02-03,22,False
2019-02-10,0,False
2019-02-17,23,False
2019-02-24,24,False
2019-03-03,23,False
2019-03-10,22,False
2019-03-17,69,False
2019-03-24,22,False
2019-03-31,33,False
2019-04-07,22,False
2019-04-14,21,False
2019-04-21,32,False
2019-04-28,0,False
2019-05-05,22,False
2019-05-12,66,False
2019-05-19,28,False
2019-05-26,66,False
2019-06-02,42,False
2019-06-09,28,False
2019-06-16,36,False
2019-06-23,57,False
2019-06-30,44,False
2019-07-07,51,False
2019-07-14,75,False
2019-07-21,50,False
2019-07-28,46,False
2019-08-04,57,False
2019-08-11,34,False
2019-08-18,28,False
2019-08-25,59,False
2019-09-01,28,False
2019-09-08,40,False
2019-09-15,40,False
2019-09-22,27,False
2019-09-29,59,False
2019-10-06,35,False
2019-10-13,18,False
2019-10-20,19,False
2019-10-27,38,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,17,False
2019-12-01,17,False
2019-12-08,0,False
2019-12-15,26,False
2019-12-22,19,False
2019-12-29,37,False
2020-01-05,17,False
2020-01-12,16,False
2020-01-19,17,False
2020-01-26,50,False
2020-02-02,17,False
2020-02-09,43,False
2020-02-16,35,False
2020-02-23,32,False
2020-03-01,36,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,45,False
2020-03-29,15,False
2020-04-05,35,False
2020-04-12,45,False
2020-04-19,47,False
2020-04-26,51,False
2020-05-03,72,False
2020-05-10,39,False
2020-05-17,86,False
2020-05-24,100,False
2020-05-31,79,False
2020-06-07,91,False
2020-06-14,56,False
2020-06-21,69,True
