date,pisciniste,isPartial
2018-01-07,18,False
2018-01-14,24,False
2018-01-21,17,False
2018-01-28,18,False
2018-02-04,23,False
2018-02-11,18,False
2018-02-18,18,False
2018-02-25,0,False
2018-03-04,17,False
2018-03-11,24,False
2018-03-18,27,False
2018-03-25,18,False
2018-04-01,36,False
2018-04-08,33,False
2018-04-15,19,False
2018-04-22,24,False
2018-04-29,23,False
2018-05-06,61,False
2018-05-13,35,False
2018-05-20,36,False
2018-05-27,35,False
2018-06-03,27,False
2018-06-10,28,False
2018-06-17,42,False
2018-06-24,44,False
2018-07-01,51,False
2018-07-08,25,False
2018-07-15,23,False
2018-07-22,33,False
2018-07-29,42,False
2018-08-05,41,False
2018-08-12,37,False
2018-08-19,28,False
2018-08-26,34,False
2018-09-02,35,False
2018-09-09,35,False
2018-09-16,24,False
2018-09-23,18,False
2018-09-30,18,False
2018-10-07,18,False
2018-10-14,18,False
2018-10-21,29,False
2018-10-28,18,False
2018-11-04,18,False
2018-11-11,18,False
2018-11-18,18,False
2018-11-25,45,False
2018-12-02,0,False
2018-12-09,19,False
2018-12-16,19,False
2018-12-23,22,False
2018-12-30,20,False
2019-01-06,37,False
2019-01-13,0,False
2019-01-20,26,False
2019-01-27,17,False
2019-02-03,36,False
2019-02-10,36,False
2019-02-17,43,False
2019-02-24,47,False
2019-03-03,0,False
2019-03-10,65,False
2019-03-17,38,False
2019-03-24,47,False
2019-03-31,27,False
2019-04-07,27,False
2019-04-14,52,False
2019-04-21,17,False
2019-04-28,36,False
2019-05-05,35,False
2019-05-12,18,False
2019-05-19,17,False
2019-05-26,61,False
2019-06-02,25,False
2019-06-09,25,False
2019-06-16,29,False
2019-06-23,58,False
2019-06-30,59,False
2019-07-07,43,False
2019-07-14,32,False
2019-07-21,41,False
2019-07-28,61,False
2019-08-04,30,False
2019-08-11,15,False
2019-08-18,32,False
2019-08-25,34,False
2019-09-01,40,False
2019-09-08,16,False
2019-09-15,24,False
2019-09-22,16,False
2019-09-29,16,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,40,False
2019-10-27,16,False
2019-11-03,16,False
2019-11-10,16,False
2019-11-17,0,False
2019-11-24,16,False
2019-12-01,32,False
2019-12-08,16,False
2019-12-15,16,False
2019-12-22,18,False
2019-12-29,85,False
2020-01-05,21,False
2020-01-12,35,False
2020-01-19,15,False
2020-01-26,23,False
2020-02-02,31,False
2020-02-09,32,False
2020-02-16,39,False
2020-02-23,43,False
2020-03-01,22,False
2020-03-08,15,False
2020-03-15,13,False
2020-03-22,0,False
2020-03-29,21,False
2020-04-05,31,False
2020-04-12,34,False
2020-04-19,25,False
2020-04-26,28,False
2020-05-03,53,False
2020-05-10,38,False
2020-05-17,37,False
2020-05-24,65,False
2020-05-31,22,False
2020-06-07,35,False
2020-06-14,27,False
2020-06-21,100,True
