date,Dj Hochzeit,isPartial
2018-01-07,21,False
2018-01-14,0,False
2018-01-21,21,False
2018-01-28,53,False
2018-02-04,0,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,0,False
2018-03-04,21,False
2018-03-11,21,False
2018-03-18,21,False
2018-03-25,44,False
2018-04-01,0,False
2018-04-08,22,False
2018-04-15,0,False
2018-04-22,21,False
2018-04-29,0,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,33,False
2018-05-27,20,False
2018-06-03,43,False
2018-06-10,30,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,0,False
2018-07-08,66,False
2018-07-15,24,False
2018-07-22,44,False
2018-07-29,53,False
2018-08-05,20,False
2018-08-12,39,False
2018-08-19,40,False
2018-08-26,21,False
2018-09-02,0,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,0,False
2018-09-30,22,False
2018-10-07,55,False
2018-10-14,62,False
2018-10-21,41,False
2018-10-28,21,False
2018-11-04,0,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,21,False
2018-12-02,20,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,23,False
2018-12-30,42,False
2019-01-06,58,False
2019-01-13,38,False
2019-01-20,58,False
2019-01-27,20,False
2019-02-03,19,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,20,False
2019-03-03,30,False
2019-03-10,19,False
2019-03-17,0,False
2019-03-24,61,False
2019-03-31,21,False
2019-04-07,21,False
2019-04-14,45,False
2019-04-21,31,False
2019-04-28,60,False
2019-05-05,20,False
2019-05-12,0,False
2019-05-19,20,False
2019-05-26,100,False
2019-06-02,20,False
2019-06-09,29,False
2019-06-16,59,False
2019-06-23,40,False
2019-06-30,40,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,67,False
2019-07-28,0,False
2019-08-04,20,False
2019-08-11,37,False
2019-08-18,29,False
2019-08-25,38,False
2019-09-01,19,False
2019-09-08,29,False
2019-09-15,29,False
2019-09-22,38,False
2019-09-29,29,False
2019-10-06,19,False
2019-10-13,48,False
2019-10-20,19,False
2019-10-27,28,False
2019-11-03,37,False
2019-11-10,45,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,45,False
2019-12-08,36,False
2019-12-15,0,False
2019-12-22,20,False
2019-12-29,56,False
2020-01-05,26,False
2020-01-12,17,False
2020-01-19,35,False
2020-01-26,26,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,18,False
2020-02-23,35,False
2020-03-01,35,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,16,False
2020-03-29,48,False
2020-04-05,0,False
2020-04-12,63,True
