date,Dj Hochzeit,isPartial
2018-01-07,0,False
2018-01-14,22,False
2018-01-21,22,False
2018-01-28,100,False
2018-02-04,23,False
2018-02-11,45,False
2018-02-18,23,False
2018-02-25,0,False
2018-03-04,45,False
2018-03-11,34,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,25,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,24,False
2018-04-29,0,False
2018-05-06,48,False
2018-05-13,23,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,23,False
2018-06-17,24,False
2018-06-24,0,False
2018-07-01,25,False
2018-07-08,75,False
2018-07-15,25,False
2018-07-22,25,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,36,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,46,False
2018-09-09,57,False
2018-09-16,23,False
2018-09-23,0,False
2018-09-30,25,False
2018-10-07,48,False
2018-10-14,46,False
2018-10-21,45,False
2018-10-28,23,False
2018-11-04,22,False
2018-11-11,0,False
2018-11-18,45,False
2018-11-25,72,False
2018-12-02,71,False
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,58,False
2019-01-13,79,False
2019-01-20,66,False
2019-01-27,34,False
2019-02-03,34,False
2019-02-10,34,False
2019-02-17,34,False
2019-02-24,23,False
2019-03-03,45,False
2019-03-10,67,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,68,False
2019-04-07,23,False
2019-04-14,25,False
2019-04-21,48,False
2019-04-28,35,False
2019-05-05,22,False
2019-05-12,23,False
2019-05-19,22,False
2019-05-26,35,False
2019-06-02,22,False
2019-06-09,58,False
2019-06-16,23,False
2019-06-23,35,False
2019-06-30,47,False
2019-07-07,23,False
2019-07-14,0,False
2019-07-21,25,False
2019-07-28,75,False
2019-08-04,0,False
2019-08-11,45,False
2019-08-18,45,False
2019-08-25,23,False
2019-09-01,33,False
2019-09-08,45,False
2019-09-15,46,False
2019-09-22,91,False
2019-09-29,48,False
2019-10-06,0,False
2019-10-13,32,False
2019-10-20,32,False
2019-10-27,21,False
2019-11-03,42,False
2019-11-10,21,False
2019-11-17,65,False
2019-11-24,63,False
2019-12-01,42,False
2019-12-08,63,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,48,False
2020-01-05,85,False
2020-01-12,61,False
2020-01-19,61,False
2020-01-26,20,False
2020-02-02,30,False
2020-02-09,39,False
2020-02-16,52,False
2020-02-23,41,False
2020-03-01,30,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,47,False
2020-04-05,31,False
2020-04-12,75,True
