date,bomboniere originali,isPartial
2018-01-07,69,False
2018-01-14,55,False
2018-01-21,100,False
2018-01-28,59,False
2018-02-04,58,False
2018-02-11,50,False
2018-02-18,37,False
2018-02-25,80,False
2018-03-04,40,False
2018-03-11,70,False
2018-03-18,37,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,46,False
2018-04-15,26,False
2018-04-22,31,False
2018-04-29,51,False
2018-05-06,42,False
2018-05-13,21,False
2018-05-20,50,False
2018-05-27,34,False
2018-06-03,25,False
2018-06-10,28,False
2018-06-17,38,False
2018-06-24,21,False
2018-07-01,17,False
2018-07-08,12,False
2018-07-15,30,False
2018-07-22,21,False
2018-07-29,13,False
2018-08-05,36,False
2018-08-12,19,False
2018-08-19,42,False
2018-08-26,26,False
2018-09-02,61,False
2018-09-09,53,False
2018-09-16,28,False
2018-09-23,33,False
2018-09-30,37,False
2018-10-07,63,False
2018-10-14,43,False
2018-10-21,21,False
2018-10-28,29,False
2018-11-04,48,False
2018-11-11,13,False
2018-11-18,8,False
2018-11-25,46,False
2018-12-02,25,False
2018-12-09,17,False
2018-12-16,18,False
2018-12-23,20,False
2018-12-30,23,False
2019-01-06,38,False
2019-01-13,37,False
2019-01-20,51,False
2019-01-27,62,False
2019-02-03,43,False
2019-02-10,40,False
2019-02-17,49,False
2019-02-24,32,False
2019-03-03,25,False
2019-03-10,62,False
2019-03-17,67,False
2019-03-24,38,False
2019-03-31,42,False
2019-04-07,49,False
2019-04-14,21,False
2019-04-21,31,False
2019-04-28,54,False
2019-05-05,20,False
2019-05-12,48,False
2019-05-19,36,False
2019-05-26,39,False
2019-06-02,12,False
2019-06-09,16,False
2019-06-16,17,False
2019-06-23,21,False
2019-06-30,21,False
2019-07-07,41,False
2019-07-14,34,False
2019-07-21,17,False
2019-07-28,13,False
2019-08-04,27,False
2019-08-11,28,False
2019-08-18,31,False
2019-08-25,32,False
2019-09-01,49,False
2019-09-08,16,False
2019-09-15,19,False
2019-09-22,15,False
2019-09-29,62,False
2019-10-06,16,False
2019-10-13,31,False
2019-10-20,19,False
2019-10-27,15,False
2019-11-03,11,False
2019-11-10,15,False
2019-11-17,22,False
2019-11-24,19,False
2019-12-01,19,False
2019-12-08,20,False
2019-12-15,16,False
2019-12-22,18,False
2019-12-29,39,False
2020-01-05,19,False
2020-01-12,29,False
2020-01-19,62,False
2020-01-26,39,False
2020-02-02,46,False
2020-02-09,37,False
2020-02-16,62,False
2020-02-23,44,False
2020-03-01,30,False
2020-03-08,13,False
2020-03-15,0,False
2020-03-22,12,False
2020-03-29,6,False
2020-04-05,0,False
2020-04-12,7,False
2020-04-19,6,False
2020-04-26,11,True
