date,Dachdeckerfirma,isPartial
2018-01-07,37,False
2018-01-14,49,False
2018-01-21,25,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,100,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,50,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,0,False
2018-04-22,76,False
2018-04-29,0,False
2018-05-06,40,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,38,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,26,False
2018-08-05,26,False
2018-08-12,39,False
2018-08-19,39,False
2018-08-26,39,False
2018-09-02,42,False
2018-09-09,26,False
2018-09-16,25,False
2018-09-23,0,False
2018-09-30,51,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,25,False
2018-10-28,37,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,49,False
2018-12-02,0,False
2018-12-09,37,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,23,False
2019-01-13,46,False
2019-01-20,0,False
2019-01-27,46,False
2019-02-03,23,False
2019-02-10,24,False
2019-02-17,24,False
2019-02-24,37,False
2019-03-03,0,False
2019-03-10,39,False
2019-03-17,49,False
2019-03-24,24,False
2019-03-31,32,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,25,False
2019-04-28,47,False
2019-05-05,35,False
2019-05-12,36,False
2019-05-19,24,False
2019-05-26,24,False
2019-06-02,47,False
2019-06-09,24,False
2019-06-16,25,False
2019-06-23,0,False
2019-06-30,36,False
2019-07-07,24,False
2019-07-14,49,False
2019-07-21,0,False
2019-07-28,51,False
2019-08-04,38,False
2019-08-11,73,False
2019-08-18,24,False
2019-08-25,24,False
2019-09-01,24,False
2019-09-08,36,False
2019-09-15,49,False
2019-09-22,35,False
2019-09-29,23,False
2019-10-06,23,False
2019-10-13,47,False
2019-10-20,0,False
2019-10-27,45,False
2019-11-03,66,False
2019-11-10,0,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,0,False
2019-12-08,22,False
2019-12-15,38,False
2019-12-22,26,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,21,False
2020-01-19,0,False
2020-01-26,21,False
2020-02-02,32,False
2020-02-09,21,False
2020-02-16,32,False
2020-02-23,21,False
2020-03-01,41,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,32,False
2020-04-05,21,False
2020-04-12,60,False
2020-04-19,26,False
2020-04-26,28,False
2020-05-03,29,False
2020-05-10,19,False
