date,portes,isPartial
2018-01-07,84,False
2018-01-14,34,False
2018-01-21,33,False
2018-01-28,65,False
2018-02-04,63,False
2018-02-11,100,False
2018-02-18,33,False
2018-02-25,64,False
2018-03-04,31,False
2018-03-11,31,False
2018-03-18,0,False
2018-03-25,32,False
2018-04-01,51,False
2018-04-08,37,False
2018-04-15,39,False
2018-04-22,42,False
2018-04-29,39,False
2018-05-06,26,False
2018-05-13,36,False
2018-05-20,26,False
2018-05-27,49,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,66,False
2018-06-24,36,False
2018-07-01,23,False
2018-07-08,23,False
2018-07-15,23,False
2018-07-22,33,False
2018-07-29,22,False
2018-08-05,31,False
2018-08-12,42,False
2018-08-19,0,False
2018-08-26,24,False
2018-09-02,23,False
2018-09-09,22,False
2018-09-16,24,False
2018-09-23,96,False
2018-09-30,99,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,42,False
2018-10-28,40,False
2018-11-04,62,False
2018-11-11,63,False
2018-11-18,62,False
2018-11-25,33,False
2018-12-02,53,False
2018-12-09,46,False
2018-12-16,71,False
2018-12-23,0,False
2018-12-30,39,False
2019-01-06,33,False
2019-01-13,50,False
2019-01-20,31,False
2019-01-27,63,False
2019-02-03,80,False
2019-02-10,49,False
2019-02-17,33,False
2019-02-24,100,False
2019-03-03,43,False
2019-03-10,52,False
2019-03-17,41,False
2019-03-24,62,False
2019-03-31,0,False
2019-04-07,71,False
2019-04-14,94,False
2019-04-21,27,False
2019-04-28,26,False
2019-05-05,61,False
2019-05-12,52,False
2019-05-19,48,False
2019-05-26,35,False
2019-06-02,23,False
2019-06-09,23,False
2019-06-16,47,False
2019-06-23,24,False
2019-06-30,23,False
2019-07-07,22,False
2019-07-14,33,False
2019-07-21,22,False
2019-07-28,22,False
2019-08-04,21,False
2019-08-11,28,False
2019-08-18,52,False
2019-08-25,0,False
2019-09-01,41,False
2019-09-08,20,False
2019-09-15,42,False
2019-09-22,54,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,45,False
2019-10-20,23,False
2019-10-27,26,False
2019-11-03,39,False
2019-11-10,0,False
2019-11-17,27,False
2019-11-24,64,False
2019-12-01,48,False
2019-12-08,0,False
2019-12-15,43,False
2019-12-22,44,False
2019-12-29,32,False
2020-01-05,0,False
2020-01-12,55,False
2020-01-19,39,False
2020-01-26,45,False
2020-02-02,36,False
2020-02-09,26,False
2020-02-16,35,False
2020-02-23,79,False
2020-03-01,33,False
2020-03-08,36,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,21,False
2020-04-05,46,False
2020-04-12,46,False
2020-04-19,42,False
2020-04-26,22,False
2020-05-03,54,False
2020-05-10,22,False
2020-05-17,45,True
