date,portes,isPartial
2018-01-07,30,False
2018-01-14,51,False
2018-01-21,30,False
2018-01-28,30,False
2018-02-04,0,False
2018-02-11,60,False
2018-02-18,30,False
2018-02-25,30,False
2018-03-04,91,False
2018-03-11,30,False
2018-03-18,44,False
2018-03-25,0,False
2018-04-01,31,False
2018-04-08,0,False
2018-04-15,31,False
2018-04-22,0,False
2018-04-29,60,False
2018-05-06,29,False
2018-05-13,30,False
2018-05-20,30,False
2018-05-27,43,False
2018-06-03,29,False
2018-06-10,28,False
2018-06-17,46,False
2018-06-24,61,False
2018-07-01,30,False
2018-07-08,50,False
2018-07-15,43,False
2018-07-22,30,False
2018-07-29,0,False
2018-08-05,29,False
2018-08-12,58,False
2018-08-19,0,False
2018-08-26,30,False
2018-09-02,29,False
2018-09-09,30,False
2018-09-16,30,False
2018-09-23,59,False
2018-09-30,30,False
2018-10-07,0,False
2018-10-14,30,False
2018-10-21,0,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,30,False
2018-11-18,29,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,30,False
2018-12-16,59,False
2018-12-23,33,False
2018-12-30,43,False
2019-01-06,30,False
2019-01-13,29,False
2019-01-20,27,False
2019-01-27,28,False
2019-02-03,59,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,30,False
2019-03-03,39,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,30,False
2019-03-31,38,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,0,False
2019-05-12,28,False
2019-05-19,29,False
2019-05-26,38,False
2019-06-02,27,False
2019-06-09,28,False
2019-06-16,29,False
2019-06-23,43,False
2019-06-30,29,False
2019-07-07,59,False
2019-07-14,30,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,42,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,29,False
2019-09-15,27,False
2019-09-22,27,False
2019-09-29,55,False
2019-10-06,27,False
2019-10-13,39,False
2019-10-20,0,False
2019-10-27,53,False
2019-11-03,26,False
2019-11-10,25,False
2019-11-17,0,False
2019-11-24,25,False
2019-12-01,53,False
2019-12-08,55,False
2019-12-15,52,False
2019-12-22,46,False
2019-12-29,28,False
2020-01-05,26,False
2020-01-12,25,False
2020-01-19,0,False
2020-01-26,100,False
2020-02-02,50,False
2020-02-09,25,False
2020-02-16,51,False
2020-02-23,24,False
2020-03-01,0,False
2020-03-08,23,False
2020-03-15,44,False
2020-03-22,0,False
2020-03-29,31,False
2020-04-05,22,False
2020-04-12,21,False
2020-04-19,31,False
2020-04-26,27,False
2020-05-03,20,False
2020-05-10,0,False
2020-05-17,26,True
