date,Entretien de piscine,isPartial
2018-01-07,10,False
2018-01-14,10,False
2018-01-21,10,False
2018-01-28,20,False
2018-02-04,0,False
2018-02-11,10,False
2018-02-18,14,False
2018-02-25,0,False
2018-03-04,10,False
2018-03-11,10,False
2018-03-18,10,False
2018-03-25,10,False
2018-04-01,35,False
2018-04-08,24,False
2018-04-15,41,False
2018-04-22,25,False
2018-04-29,21,False
2018-05-06,33,False
2018-05-13,21,False
2018-05-20,35,False
2018-05-27,37,False
2018-06-03,20,False
2018-06-10,33,False
2018-06-17,52,False
2018-06-24,55,False
2018-07-01,57,False
2018-07-08,81,False
2018-07-15,56,False
2018-07-22,52,False
2018-07-29,60,False
2018-08-05,49,False
2018-08-12,39,False
2018-08-19,48,False
2018-08-26,14,False
2018-09-02,25,False
2018-09-09,42,False
2018-09-16,21,False
2018-09-23,10,False
2018-09-30,31,False
2018-10-07,18,False
2018-10-14,10,False
2018-10-21,11,False
2018-10-28,16,False
2018-11-04,15,False
2018-11-11,0,False
2018-11-18,10,False
2018-11-25,10,False
2018-12-02,10,False
2018-12-09,31,False
2018-12-16,11,False
2018-12-23,18,False
2018-12-30,11,False
2019-01-06,10,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,13,False
2019-02-03,10,False
2019-02-10,10,False
2019-02-17,21,False
2019-02-24,21,False
2019-03-03,25,False
2019-03-10,17,False
2019-03-17,16,False
2019-03-24,21,False
2019-03-31,31,False
2019-04-07,35,False
2019-04-14,11,False
2019-04-21,37,False
2019-04-28,24,False
2019-05-05,20,False
2019-05-12,10,False
2019-05-19,20,False
2019-05-26,20,False
2019-06-02,57,False
2019-06-09,26,False
2019-06-16,78,False
2019-06-23,100,False
2019-06-30,80,False
2019-07-07,47,False
2019-07-14,42,False
2019-07-21,64,False
2019-07-28,43,False
2019-08-04,40,False
2019-08-11,22,False
2019-08-18,18,False
2019-08-25,15,False
2019-09-01,15,False
2019-09-08,10,False
2019-09-15,24,False
2019-09-22,19,False
2019-09-29,9,False
2019-10-06,14,False
2019-10-13,19,False
2019-10-20,19,False
2019-10-27,19,False
2019-11-03,18,False
2019-11-10,9,False
2019-11-17,9,False
2019-11-24,13,False
2019-12-01,9,False
2019-12-08,9,False
2019-12-15,9,False
2019-12-22,14,False
2019-12-29,0,False
2020-01-05,12,False
2020-01-12,9,False
2020-01-19,9,False
2020-01-26,9,False
2020-02-02,18,False
2020-02-09,9,False
2020-02-16,9,False
2020-02-23,17,False
2020-03-01,13,False
2020-03-08,11,False
2020-03-15,11,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,37,False
2020-04-12,43,False
2020-04-19,34,False
2020-04-26,25,False
2020-05-03,55,False
2020-05-10,29,False
2020-05-17,46,True
