date,magia,isPartial
2018-01-07,17,False
2018-01-14,43,False
2018-01-21,26,False
2018-01-28,35,False
2018-02-04,42,False
2018-02-11,52,False
2018-02-18,0,False
2018-02-25,86,False
2018-03-04,17,False
2018-03-11,34,False
2018-03-18,26,False
2018-03-25,19,False
2018-04-01,38,False
2018-04-08,100,False
2018-04-15,35,False
2018-04-22,17,False
2018-04-29,17,False
2018-05-06,50,False
2018-05-13,35,False
2018-05-20,52,False
2018-05-27,34,False
2018-06-03,17,False
2018-06-10,0,False
2018-06-17,19,False
2018-06-24,59,False
2018-07-01,0,False
2018-07-08,21,False
2018-07-15,41,False
2018-07-22,30,False
2018-07-29,59,False
2018-08-05,38,False
2018-08-12,60,False
2018-08-19,29,False
2018-08-26,28,False
2018-09-02,0,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,17,False
2018-09-30,17,False
2018-10-07,18,False
2018-10-14,34,False
2018-10-21,34,False
2018-10-28,17,False
2018-11-04,57,False
2018-11-11,84,False
2018-11-18,32,False
2018-11-25,17,False
2018-12-02,28,False
2018-12-09,26,False
2018-12-16,43,False
2018-12-23,80,False
2018-12-30,39,False
2019-01-06,34,False
2019-01-13,16,False
2019-01-20,46,False
2019-01-27,47,False
2019-02-03,16,False
2019-02-10,17,False
2019-02-17,17,False
2019-02-24,17,False
2019-03-03,17,False
2019-03-10,33,False
2019-03-17,34,False
2019-03-24,0,False
2019-03-31,56,False
2019-04-07,33,False
2019-04-14,36,False
2019-04-21,35,False
2019-04-28,16,False
2019-05-05,16,False
2019-05-12,24,False
2019-05-19,32,False
2019-05-26,16,False
2019-06-02,0,False
2019-06-09,32,False
2019-06-16,51,False
2019-06-23,18,False
2019-06-30,18,False
2019-07-07,38,False
2019-07-14,38,False
2019-07-21,18,False
2019-07-28,37,False
2019-08-04,28,False
2019-08-11,37,False
2019-08-18,27,False
2019-08-25,33,False
2019-09-01,32,False
2019-09-08,40,False
2019-09-15,23,False
2019-09-22,16,False
2019-09-29,15,False
2019-10-06,15,False
2019-10-13,37,False
2019-10-20,0,False
2019-10-27,30,False
2019-11-03,14,False
2019-11-10,28,False
2019-11-17,29,False
2019-11-24,14,False
2019-12-01,24,False
2019-12-08,29,False
2019-12-15,15,False
2019-12-22,33,False
2019-12-29,64,False
2020-01-05,15,False
2020-01-12,20,False
2020-01-19,47,False
2020-01-26,14,False
2020-02-02,14,False
2020-02-09,28,False
2020-02-16,28,False
2020-02-23,14,False
2020-03-01,19,False
2020-03-08,12,False
2020-03-15,35,False
2020-03-22,44,False
2020-03-29,65,False
2020-04-05,23,False
2020-04-12,51,True
