date,Trocknungsfirma,isPartial
2018-01-07,0,False
2018-01-14,20,False
2018-01-21,100,False
2018-01-28,40,False
2018-02-04,31,False
2018-02-11,20,False
2018-02-18,20,False
2018-02-25,20,False
2018-03-04,40,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,21,False
2018-04-01,0,False
2018-04-08,21,False
2018-04-15,0,False
2018-04-22,20,False
2018-04-29,43,False
2018-05-06,43,False
2018-05-13,0,False
2018-05-20,65,False
2018-05-27,0,False
2018-06-03,41,False
2018-06-10,30,False
2018-06-17,20,False
2018-06-24,21,False
2018-07-01,40,False
2018-07-08,21,False
2018-07-15,31,False
2018-07-22,21,False
2018-07-29,0,False
2018-08-05,42,False
2018-08-12,0,False
2018-08-19,21,False
2018-08-26,31,False
2018-09-02,21,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,41,False
2018-09-30,41,False
2018-10-07,0,False
2018-10-14,20,False
2018-10-21,60,False
2018-10-28,0,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,39,False
2018-12-02,19,False
2018-12-09,20,False
2018-12-16,61,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,19,False
2019-01-13,19,False
2019-01-20,37,False
2019-01-27,28,False
2019-02-03,38,False
2019-02-10,19,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,19,False
2019-03-10,0,False
2019-03-17,20,False
2019-03-24,29,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,19,False
2019-05-05,0,False
2019-05-12,39,False
2019-05-19,19,False
2019-05-26,59,False
2019-06-02,19,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,19,False
2019-07-07,19,False
2019-07-14,40,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,20,False
2019-08-18,30,False
2019-08-25,19,False
2019-09-01,38,False
2019-09-08,19,False
2019-09-15,39,False
2019-09-22,19,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,37,False
2019-10-20,37,False
2019-10-27,27,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,18,False
2019-12-01,18,False
2019-12-08,45,False
2019-12-15,18,False
2019-12-22,32,False
2019-12-29,0,False
2020-01-05,17,False
2020-01-12,50,False
2020-01-19,26,False
2020-01-26,25,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,0,False
2020-02-23,25,False
2020-03-01,17,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,34,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,23,False
2020-05-03,15,False
2020-05-10,31,False
