date,Waschmaschine Anschluss,isPartial
2018-01-07,0,False
2018-01-14,66,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,0,False
2018-02-11,52,False
2018-02-18,34,False
2018-02-25,34,False
2018-03-04,68,False
2018-03-11,68,False
2018-03-18,0,False
2018-03-25,74,False
2018-04-01,75,False
2018-04-08,70,False
2018-04-15,36,False
2018-04-22,35,False
2018-04-29,53,False
2018-05-06,53,False
2018-05-13,34,False
2018-05-20,36,False
2018-05-27,54,False
2018-06-03,34,False
2018-06-10,32,False
2018-06-17,33,False
2018-06-24,98,False
2018-07-01,32,False
2018-07-08,0,False
2018-07-15,49,False
2018-07-22,33,False
2018-07-29,34,False
2018-08-05,35,False
2018-08-12,0,False
2018-08-19,37,False
2018-08-26,36,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,69,False
2018-09-23,35,False
2018-09-30,34,False
2018-10-07,0,False
2018-10-14,50,False
2018-10-21,34,False
2018-10-28,68,False
2018-11-04,33,False
2018-11-11,33,False
2018-11-18,32,False
2018-11-25,49,False
2018-12-02,49,False
2018-12-09,32,False
2018-12-16,34,False
2018-12-23,0,False
2018-12-30,35,False
2019-01-06,41,False
2019-01-13,31,False
2019-01-20,41,False
2019-01-27,31,False
2019-02-03,46,False
2019-02-10,0,False
2019-02-17,31,False
2019-02-24,64,False
2019-03-03,48,False
2019-03-10,94,False
2019-03-17,50,False
2019-03-24,33,False
2019-03-31,34,False
2019-04-07,0,False
2019-04-14,35,False
2019-04-21,69,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,62,False
2019-05-26,33,False
2019-06-02,65,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,66,False
2019-06-30,32,False
2019-07-07,30,False
2019-07-14,48,False
2019-07-21,100,False
2019-07-28,33,False
2019-08-04,34,False
2019-08-11,34,False
2019-08-18,70,False
2019-08-25,45,False
2019-09-01,97,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,31,False
2019-10-06,62,False
2019-10-13,31,False
2019-10-20,61,False
2019-10-27,30,False
2019-11-03,60,False
2019-11-10,30,False
2019-11-17,45,False
2019-11-24,74,False
2019-12-01,31,False
2019-12-08,46,False
2019-12-15,31,False
2019-12-22,36,False
2019-12-29,66,False
2020-01-05,43,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,57,False
2020-02-02,28,False
2020-02-09,27,False
2020-02-16,29,False
2020-02-23,29,False
2020-03-01,42,False
2020-03-08,40,False
2020-03-15,51,False
2020-03-22,26,False
2020-03-29,34,False
2020-04-05,43,False
2020-04-12,41,False
2020-04-19,27,False
2020-04-26,26,False
2020-05-03,35,False
2020-05-10,40,False
