date,Waschmaschine Anschluss,isPartial
2018-01-07,0,False
2018-01-14,42,False
2018-01-21,0,False
2018-01-28,21,False
2018-02-04,22,False
2018-02-11,29,False
2018-02-18,32,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,22,False
2018-03-25,30,False
2018-04-01,45,False
2018-04-08,21,False
2018-04-15,22,False
2018-04-22,21,False
2018-04-29,22,False
2018-05-06,44,False
2018-05-13,21,False
2018-05-20,23,False
2018-05-27,21,False
2018-06-03,21,False
2018-06-10,21,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,63,False
2018-07-08,27,False
2018-07-15,0,False
2018-07-22,34,False
2018-07-29,23,False
2018-08-05,45,False
2018-08-12,23,False
2018-08-19,22,False
2018-08-26,22,False
2018-09-02,43,False
2018-09-09,22,False
2018-09-16,29,False
2018-09-23,44,False
2018-09-30,29,False
2018-10-07,22,False
2018-10-14,22,False
2018-10-21,22,False
2018-10-28,32,False
2018-11-04,21,False
2018-11-11,21,False
2018-11-18,20,False
2018-11-25,41,False
2018-12-02,41,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,24,False
2018-12-30,0,False
2019-01-06,40,False
2019-01-13,19,False
2019-01-20,46,False
2019-01-27,19,False
2019-02-03,39,False
2019-02-10,27,False
2019-02-17,41,False
2019-02-24,42,False
2019-03-03,50,False
2019-03-10,20,False
2019-03-17,21,False
2019-03-24,21,False
2019-03-31,20,False
2019-04-07,21,False
2019-04-14,44,False
2019-04-21,22,False
2019-04-28,52,False
2019-05-05,40,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,28,False
2019-06-02,40,False
2019-06-09,21,False
2019-06-16,0,False
2019-06-23,21,False
2019-06-30,40,False
2019-07-07,0,False
2019-07-14,43,False
2019-07-21,23,False
2019-07-28,22,False
2019-08-04,34,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,20,False
2019-09-01,20,False
2019-09-08,20,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,20,False
2019-10-06,20,False
2019-10-13,40,False
2019-10-20,40,False
2019-10-27,20,False
2019-11-03,56,False
2019-11-10,32,False
2019-11-17,25,False
2019-11-24,37,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,32,False
2019-12-22,22,False
2019-12-29,52,False
2020-01-05,54,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,18,False
2020-02-02,47,False
2020-02-09,26,False
2020-02-16,36,False
2020-02-23,17,False
2020-03-01,35,False
2020-03-08,33,False
2020-03-15,25,False
2020-03-22,16,False
2020-03-29,24,False
2020-04-05,44,False
2020-04-12,34,False
2020-04-19,100,False
2020-04-26,32,False
2020-05-03,24,False
2020-05-10,16,False
