date,Schornstein verkleiden,isPartial
2018-01-07,25,False
2018-01-14,49,False
2018-01-21,25,False
2018-01-28,37,False
2018-02-04,34,False
2018-02-11,34,False
2018-02-18,51,False
2018-02-25,25,False
2018-03-04,42,False
2018-03-11,75,False
2018-03-18,50,False
2018-03-25,62,False
2018-04-01,40,False
2018-04-08,39,False
2018-04-15,26,False
2018-04-22,38,False
2018-04-29,40,False
2018-05-06,53,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,39,False
2018-06-03,26,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,39,False
2018-07-01,38,False
2018-07-08,25,False
2018-07-15,78,False
2018-07-22,26,False
2018-07-29,26,False
2018-08-05,26,False
2018-08-12,26,False
2018-08-19,39,False
2018-08-26,52,False
2018-09-02,34,False
2018-09-09,42,False
2018-09-16,25,False
2018-09-23,76,False
2018-09-30,25,False
2018-10-07,51,False
2018-10-14,51,False
2018-10-21,62,False
2018-10-28,61,False
2018-11-04,36,False
2018-11-11,41,False
2018-11-18,40,False
2018-11-25,25,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,58,False
2018-12-30,52,False
2019-01-06,47,False
2019-01-13,34,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,24,False
2019-02-10,40,False
2019-02-17,24,False
2019-02-24,73,False
2019-03-03,35,False
2019-03-10,47,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,37,False
2019-04-07,24,False
2019-04-14,52,False
2019-04-21,26,False
2019-04-28,40,False
2019-05-05,35,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,24,False
2019-06-02,71,False
2019-06-09,33,False
2019-06-16,49,False
2019-06-23,49,False
2019-06-30,60,False
2019-07-07,32,False
2019-07-14,100,False
2019-07-21,52,False
2019-07-28,25,False
2019-08-04,51,False
2019-08-11,49,False
2019-08-18,50,False
2019-08-25,49,False
2019-09-01,47,False
2019-09-08,40,False
2019-09-15,48,False
2019-09-22,31,False
2019-09-29,31,False
2019-10-06,23,False
2019-10-13,34,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,44,False
2019-11-10,45,False
2019-11-17,55,False
2019-11-24,66,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,34,False
2019-12-22,0,False
2019-12-29,40,False
2020-01-05,43,False
2020-01-12,34,False
2020-01-19,42,False
2020-01-26,32,False
2020-02-02,42,False
2020-02-09,21,False
2020-02-16,43,False
2020-02-23,42,False
2020-03-01,41,False
2020-03-08,39,False
2020-03-15,38,False
2020-03-22,19,False
2020-03-29,47,False
2020-04-05,21,False
2020-04-12,0,False
2020-04-19,39,False
2020-04-26,19,False
2020-05-03,38,False
2020-05-10,39,False
