date,piscine en acier,isPartial
2018-01-07,7,False
2018-01-14,7,False
2018-01-21,7,False
2018-01-28,10,False
2018-02-04,7,False
2018-02-11,7,False
2018-02-18,9,False
2018-02-25,14,False
2018-03-04,7,False
2018-03-11,7,False
2018-03-18,0,False
2018-03-25,14,False
2018-04-01,14,False
2018-04-08,16,False
2018-04-15,32,False
2018-04-22,21,False
2018-04-29,21,False
2018-05-06,22,False
2018-05-13,24,False
2018-05-20,11,False
2018-05-27,25,False
2018-06-03,16,False
2018-06-10,24,False
2018-06-17,9,False
2018-06-24,14,False
2018-07-01,38,False
2018-07-08,28,False
2018-07-15,15,False
2018-07-22,35,False
2018-07-29,38,False
2018-08-05,28,False
2018-08-12,16,False
2018-08-19,25,False
2018-08-26,14,False
2018-09-02,14,False
2018-09-09,21,False
2018-09-16,7,False
2018-09-23,7,False
2018-09-30,7,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,7,False
2018-10-28,7,False
2018-11-04,0,False
2018-11-11,7,False
2018-11-18,7,False
2018-11-25,7,False
2018-12-02,7,False
2018-12-09,7,False
2018-12-16,7,False
2018-12-23,0,False
2018-12-30,8,False
2019-01-06,7,False
2019-01-13,20,False
2019-01-20,13,False
2019-01-27,20,False
2019-02-03,11,False
2019-02-10,14,False
2019-02-17,16,False
2019-02-24,17,False
2019-03-03,10,False
2019-03-10,9,False
2019-03-17,9,False
2019-03-24,14,False
2019-03-31,7,False
2019-04-07,10,False
2019-04-14,18,False
2019-04-21,19,False
2019-04-28,9,False
2019-05-05,13,False
2019-05-12,20,False
2019-05-19,11,False
2019-05-26,24,False
2019-06-02,25,False
2019-06-09,31,False
2019-06-16,20,False
2019-06-23,49,False
2019-06-30,38,False
2019-07-07,34,False
2019-07-14,21,False
2019-07-21,24,False
2019-07-28,15,False
2019-08-04,17,False
2019-08-11,17,False
2019-08-18,12,False
2019-08-25,14,False
2019-09-01,7,False
2019-09-08,7,False
2019-09-15,23,False
2019-09-22,0,False
2019-09-29,13,False
2019-10-06,0,False
2019-10-13,13,False
2019-10-20,10,False
2019-10-27,0,False
2019-11-03,6,False
2019-11-10,0,False
2019-11-17,9,False
2019-11-24,12,False
2019-12-01,6,False
2019-12-08,0,False
2019-12-15,6,False
2019-12-22,7,False
2019-12-29,7,False
2020-01-05,9,False
2020-01-12,12,False
2020-01-19,9,False
2020-01-26,6,False
2020-02-02,12,False
2020-02-09,24,False
2020-02-16,18,False
2020-02-23,0,False
2020-03-01,12,False
2020-03-08,17,False
2020-03-15,8,False
2020-03-22,11,False
2020-03-29,25,False
2020-04-05,43,False
2020-04-12,38,False
2020-04-19,60,False
2020-04-26,39,False
2020-05-03,66,False
2020-05-10,52,False
2020-05-17,100,True
