date,Dachreparatur,isPartial
2018-01-07,26,False
2018-01-14,76,False
2018-01-21,39,False
2018-01-28,34,False
2018-02-04,26,False
2018-02-11,26,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,0,False
2018-03-25,28,False
2018-04-01,0,False
2018-04-08,27,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,28,False
2018-05-13,26,False
2018-05-20,28,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,51,False
2018-06-17,26,False
2018-06-24,35,False
2018-07-01,0,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,27,False
2018-07-29,0,False
2018-08-05,36,False
2018-08-12,27,False
2018-08-19,27,False
2018-08-26,40,False
2018-09-02,0,False
2018-09-09,53,False
2018-09-16,40,False
2018-09-23,27,False
2018-09-30,26,False
2018-10-07,27,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,38,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,0,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,0,False
2018-12-16,40,False
2018-12-23,30,False
2018-12-30,27,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,48,False
2019-01-27,48,False
2019-02-03,48,False
2019-02-10,25,False
2019-02-17,0,False
2019-02-24,77,False
2019-03-03,25,False
2019-03-10,57,False
2019-03-17,25,False
2019-03-24,38,False
2019-03-31,38,False
2019-04-07,25,False
2019-04-14,55,False
2019-04-21,40,False
2019-04-28,66,False
2019-05-05,32,False
2019-05-12,0,False
2019-05-19,24,False
2019-05-26,51,False
2019-06-02,25,False
2019-06-09,25,False
2019-06-16,0,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,27,False
2019-07-28,26,False
2019-08-04,27,False
2019-08-11,42,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,25,False
2019-09-08,100,False
2019-09-15,38,False
2019-09-22,0,False
2019-09-29,24,False
2019-10-06,61,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,0,False
2019-11-03,38,False
2019-11-10,35,False
2019-11-17,34,False
2019-11-24,0,False
2019-12-01,35,False
2019-12-08,23,False
2019-12-15,24,False
2019-12-22,41,False
2019-12-29,0,False
2020-01-05,37,False
2020-01-12,29,False
2020-01-19,22,False
2020-01-26,0,False
2020-02-02,22,False
2020-02-09,85,False
2020-02-16,22,False
2020-02-23,22,False
2020-03-01,21,False
2020-03-08,21,False
2020-03-15,30,False
2020-03-22,30,False
2020-03-29,40,False
2020-04-05,32,False
2020-04-12,21,False
2020-04-19,40,False
2020-04-26,59,False
2020-05-03,20,False
2020-05-10,47,False
