date,come organizzare un matrimonio,isPartial
2018-01-07,26,False
2018-01-14,51,False
2018-01-21,25,False
2018-01-28,50,False
2018-02-04,49,False
2018-02-11,50,False
2018-02-18,24,False
2018-02-25,48,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,75,False
2018-03-25,26,False
2018-04-01,0,False
2018-04-08,25,False
2018-04-15,51,False
2018-04-22,26,False
2018-04-29,51,False
2018-05-06,25,False
2018-05-13,25,False
2018-05-20,50,False
2018-05-27,64,False
2018-06-03,25,False
2018-06-10,61,False
2018-06-17,38,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,26,False
2018-07-22,51,False
2018-07-29,26,False
2018-08-05,40,False
2018-08-12,57,False
2018-08-19,28,False
2018-08-26,39,False
2018-09-02,73,False
2018-09-09,25,False
2018-09-16,48,False
2018-09-23,74,False
2018-09-30,49,False
2018-10-07,51,False
2018-10-14,38,False
2018-10-21,37,False
2018-10-28,49,False
2018-11-04,72,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,50,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,90,False
2018-12-30,54,False
2019-01-06,50,False
2019-01-13,24,False
2019-01-20,35,False
2019-01-27,69,False
2019-02-03,48,False
2019-02-10,24,False
2019-02-17,61,False
2019-02-24,24,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,100,False
2019-03-24,0,False
2019-03-31,62,False
2019-04-07,24,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,62,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,48,False
2019-05-26,34,False
2019-06-02,49,False
2019-06-09,0,False
2019-06-16,25,False
2019-06-23,0,False
2019-06-30,76,False
2019-07-07,24,False
2019-07-14,50,False
2019-07-21,25,False
2019-07-28,39,False
2019-08-04,54,False
2019-08-11,28,False
2019-08-18,53,False
2019-08-25,36,False
2019-09-01,68,False
2019-09-08,47,False
2019-09-15,92,False
2019-09-22,23,False
2019-09-29,46,False
2019-10-06,47,False
2019-10-13,23,False
2019-10-20,22,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,44,False
2019-12-01,23,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,41,False
2019-12-29,26,False
2020-01-05,23,False
2020-01-12,43,False
2020-01-19,22,False
2020-01-26,21,False
2020-02-02,42,False
2020-02-09,88,False
2020-02-16,43,False
2020-02-23,41,False
2020-03-01,41,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,18,False
2020-03-29,19,False
2020-04-05,20,False
2020-04-12,30,False
2020-04-19,19,False
2020-04-26,33,True
