date,psychologue couple,isPartial
2018-01-07,47,False
2018-01-14,45,False
2018-01-21,60,False
2018-01-28,47,False
2018-02-04,0,False
2018-02-11,46,False
2018-02-18,93,False
2018-02-25,43,False
2018-03-04,0,False
2018-03-11,45,False
2018-03-18,46,False
2018-03-25,47,False
2018-04-01,48,False
2018-04-08,48,False
2018-04-15,52,False
2018-04-22,49,False
2018-04-29,48,False
2018-05-06,50,False
2018-05-13,47,False
2018-05-20,98,False
2018-05-27,71,False
2018-06-03,96,False
2018-06-10,46,False
2018-06-17,0,False
2018-06-24,49,False
2018-07-01,95,False
2018-07-08,0,False
2018-07-15,51,False
2018-07-22,76,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,53,False
2018-08-19,0,False
2018-08-26,49,False
2018-09-02,49,False
2018-09-09,0,False
2018-09-16,97,False
2018-09-23,49,False
2018-09-30,98,False
2018-10-07,97,False
2018-10-14,50,False
2018-10-21,50,False
2018-10-28,0,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,47,False
2018-11-25,48,False
2018-12-02,0,False
2018-12-09,48,False
2018-12-16,65,False
2018-12-23,0,False
2018-12-30,49,False
2019-01-06,46,False
2019-01-13,92,False
2019-01-20,90,False
2019-01-27,88,False
2019-02-03,91,False
2019-02-10,92,False
2019-02-17,48,False
2019-02-24,47,False
2019-03-03,44,False
2019-03-10,45,False
2019-03-17,72,False
2019-03-24,91,False
2019-03-31,43,False
2019-04-07,88,False
2019-04-14,0,False
2019-04-21,90,False
2019-04-28,44,False
2019-05-05,0,False
2019-05-12,87,False
2019-05-19,0,False
2019-05-26,46,False
2019-06-02,43,False
2019-06-09,42,False
2019-06-16,45,False
2019-06-23,0,False
2019-06-30,45,False
2019-07-07,0,False
2019-07-14,68,False
2019-07-21,46,False
2019-07-28,46,False
2019-08-04,47,False
2019-08-11,100,False
2019-08-18,76,False
2019-08-25,71,False
2019-09-01,63,False
2019-09-08,64,False
2019-09-15,84,False
2019-09-22,42,False
2019-09-29,87,False
2019-10-06,65,False
2019-10-13,72,False
2019-10-20,43,False
2019-10-27,83,False
2019-11-03,81,False
2019-11-10,95,False
2019-11-17,40,False
2019-11-24,39,False
2019-12-01,59,False
2019-12-08,39,False
2019-12-15,53,False
2019-12-22,44,False
2019-12-29,42,False
2020-01-05,59,False
2020-01-12,39,False
2020-01-19,40,False
2020-01-26,51,False
2020-02-02,57,False
2020-02-09,75,False
2020-02-16,37,False
2020-02-23,0,False
2020-03-01,37,False
2020-03-08,37,False
2020-03-15,0,False
2020-03-22,68,False
2020-03-29,35,False
2020-04-05,35,False
2020-04-12,0,False
2020-04-19,47,False
2020-04-26,33,False
2020-05-03,34,False
2020-05-10,58,False
2020-05-17,87,True
