date,camicia coreana,isPartial
2018-01-07,26,False
2018-01-14,25,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,25,False
2018-02-11,0,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,23,False
2018-03-11,24,False
2018-03-18,0,False
2018-03-25,88,False
2018-04-01,39,False
2018-04-08,24,False
2018-04-15,37,False
2018-04-22,39,False
2018-04-29,63,False
2018-05-06,48,False
2018-05-13,72,False
2018-05-20,72,False
2018-05-27,49,False
2018-06-03,0,False
2018-06-10,97,False
2018-06-17,88,False
2018-06-24,25,False
2018-07-01,62,False
2018-07-08,75,False
2018-07-15,25,False
2018-07-22,26,False
2018-07-29,41,False
2018-08-05,59,False
2018-08-12,100,False
2018-08-19,0,False
2018-08-26,26,False
2018-09-02,36,False
2018-09-09,23,False
2018-09-16,47,False
2018-09-23,47,False
2018-09-30,24,False
2018-10-07,48,False
2018-10-14,36,False
2018-10-21,23,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,23,False
2018-11-25,0,False
2018-12-02,36,False
2018-12-09,35,False
2018-12-16,24,False
2018-12-23,43,False
2018-12-30,0,False
2019-01-06,24,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,45,False
2019-02-03,46,False
2019-02-10,23,False
2019-02-17,46,False
2019-02-24,36,False
2019-03-03,24,False
2019-03-10,24,False
2019-03-17,95,False
2019-03-24,24,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,62,False
2019-05-05,0,False
2019-05-12,46,False
2019-05-19,91,False
2019-05-26,45,False
2019-06-02,73,False
2019-06-09,59,False
2019-06-16,48,False
2019-06-23,75,False
2019-06-30,86,False
2019-07-07,49,False
2019-07-14,87,False
2019-07-21,39,False
2019-07-28,66,False
2019-08-04,86,False
2019-08-11,49,False
2019-08-18,60,False
2019-08-25,66,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,22,False
2019-09-22,22,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,44,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,0,False
2019-11-24,31,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,54,False
2019-12-29,26,False
2020-01-05,66,False
2020-01-12,0,False
2020-01-19,21,False
2020-01-26,20,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,41,False
2020-02-23,19,False
2020-03-01,0,False
2020-03-08,19,False
2020-03-15,39,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,30,False
2020-04-12,0,False
2020-04-19,19,False
2020-04-26,0,True
