date,camicia coreana,isPartial
2018-01-07,14,False
2018-01-14,21,False
2018-01-21,42,False
2018-01-28,21,False
2018-02-04,14,False
2018-02-11,14,False
2018-02-18,41,False
2018-02-25,20,False
2018-03-04,40,False
2018-03-11,14,False
2018-03-18,48,False
2018-03-25,22,False
2018-04-01,30,False
2018-04-08,76,False
2018-04-15,36,False
2018-04-22,74,False
2018-04-29,56,False
2018-05-06,56,False
2018-05-13,62,False
2018-05-20,70,False
2018-05-27,63,False
2018-06-03,77,False
2018-06-10,74,False
2018-06-17,49,False
2018-06-24,92,False
2018-07-01,97,False
2018-07-08,89,False
2018-07-15,50,False
2018-07-22,85,False
2018-07-29,43,False
2018-08-05,37,False
2018-08-12,39,False
2018-08-19,31,False
2018-08-26,29,False
2018-09-02,27,False
2018-09-09,34,False
2018-09-16,13,False
2018-09-23,27,False
2018-09-30,7,False
2018-10-07,7,False
2018-10-14,7,False
2018-10-21,21,False
2018-10-28,34,False
2018-11-04,33,False
2018-11-11,14,False
2018-11-18,0,False
2018-11-25,7,False
2018-12-02,21,False
2018-12-09,28,False
2018-12-16,37,False
2018-12-23,17,False
2018-12-30,46,False
2019-01-06,21,False
2019-01-13,7,False
2019-01-20,7,False
2019-01-27,32,False
2019-02-03,53,False
2019-02-10,40,False
2019-02-17,28,False
2019-02-24,20,False
2019-03-03,35,False
2019-03-10,27,False
2019-03-17,14,False
2019-03-24,28,False
2019-03-31,49,False
2019-04-07,55,False
2019-04-14,57,False
2019-04-21,89,False
2019-04-28,49,False
2019-05-05,33,False
2019-05-12,33,False
2019-05-19,53,False
2019-05-26,32,False
2019-06-02,62,False
2019-06-09,41,False
2019-06-16,83,False
2019-06-23,29,False
2019-06-30,100,False
2019-07-07,68,False
2019-07-14,63,False
2019-07-21,71,False
2019-07-28,72,False
2019-08-04,59,False
2019-08-11,31,False
2019-08-18,29,False
2019-08-25,34,False
2019-09-01,32,False
2019-09-08,27,False
2019-09-15,32,False
2019-09-22,45,False
2019-09-29,6,False
2019-10-06,39,False
2019-10-13,20,False
2019-10-20,6,False
2019-10-27,44,False
2019-11-03,12,False
2019-11-10,13,False
2019-11-17,12,False
2019-11-24,12,False
2019-12-01,19,False
2019-12-08,13,False
2019-12-15,26,False
2019-12-22,52,False
2019-12-29,36,False
2020-01-05,13,False
2020-01-12,18,False
2020-01-19,18,False
2020-01-26,24,False
2020-02-02,24,False
2020-02-09,12,False
2020-02-16,12,False
2020-02-23,11,False
2020-03-01,11,False
2020-03-08,0,False
2020-03-15,11,False
2020-03-22,10,False
2020-03-29,10,False
2020-04-05,16,False
2020-04-12,11,False
2020-04-19,5,False
2020-04-26,0,True
