date,sartoria,isPartial
2018-01-07,18,False
2018-01-14,27,False
2018-01-21,28,False
2018-01-28,35,False
2018-02-04,18,False
2018-02-11,46,False
2018-02-18,17,False
2018-02-25,84,False
2018-03-04,36,False
2018-03-11,44,False
2018-03-18,18,False
2018-03-25,38,False
2018-04-01,20,False
2018-04-08,18,False
2018-04-15,38,False
2018-04-22,29,False
2018-04-29,37,False
2018-05-06,36,False
2018-05-13,46,False
2018-05-20,19,False
2018-05-27,57,False
2018-06-03,73,False
2018-06-10,53,False
2018-06-17,63,False
2018-06-24,73,False
2018-07-01,63,False
2018-07-08,81,False
2018-07-15,18,False
2018-07-22,35,False
2018-07-29,73,False
2018-08-05,72,False
2018-08-12,36,False
2018-08-19,36,False
2018-08-26,25,False
2018-09-02,35,False
2018-09-09,36,False
2018-09-16,36,False
2018-09-23,18,False
2018-09-30,56,False
2018-10-07,48,False
2018-10-14,28,False
2018-10-21,47,False
2018-10-28,0,False
2018-11-04,27,False
2018-11-11,19,False
2018-11-18,36,False
2018-11-25,27,False
2018-12-02,47,False
2018-12-09,18,False
2018-12-16,36,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,51,False
2019-01-13,42,False
2019-01-20,73,False
2019-01-27,0,False
2019-02-03,25,False
2019-02-10,33,False
2019-02-17,34,False
2019-02-24,17,False
2019-03-03,34,False
2019-03-10,0,False
2019-03-17,17,False
2019-03-24,34,False
2019-03-31,25,False
2019-04-07,42,False
2019-04-14,35,False
2019-04-21,61,False
2019-04-28,50,False
2019-05-05,81,False
2019-05-12,32,False
2019-05-19,24,False
2019-05-26,46,False
2019-06-02,34,False
2019-06-09,34,False
2019-06-16,51,False
2019-06-23,34,False
2019-06-30,43,False
2019-07-07,47,False
2019-07-14,100,False
2019-07-21,17,False
2019-07-28,57,False
2019-08-04,33,False
2019-08-11,67,False
2019-08-18,40,False
2019-08-25,30,False
2019-09-01,53,False
2019-09-08,73,False
2019-09-15,24,False
2019-09-22,63,False
2019-09-29,47,False
2019-10-06,32,False
2019-10-13,56,False
2019-10-20,39,False
2019-10-27,39,False
2019-11-03,38,False
2019-11-10,15,False
2019-11-17,23,False
2019-11-24,23,False
2019-12-01,46,False
2019-12-08,32,False
2019-12-15,24,False
2019-12-22,27,False
2019-12-29,0,False
2020-01-05,31,False
2020-01-12,43,False
2020-01-19,36,False
2020-01-26,15,False
2020-02-02,14,False
2020-02-09,22,False
2020-02-16,23,False
2020-02-23,27,False
2020-03-01,40,False
2020-03-08,13,False
2020-03-15,0,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,13,False
2020-04-12,26,False
2020-04-19,18,False
2020-04-26,42,True
